"id","model_id","main_crop","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","y_metric_recla","effect_size_type","x_metric_raw","x_metric_recla","x_metric_unit","x_data_type","x_transformation","model_analysis_raw","model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","country","limitation","x_metric_unit_recla","factor","factor_metric_unit"
"35",1,"Cereals","agroforestry","woodlot","exotic tree species",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Extension service: Total number of training received and visits by extension workers in the last five years","agricultural extension frequency","number of visits","continuous","none","Multinomial Logit (MNL) model","logit","coefficient value",1.064,1.064,"p value","1E-4",1e-04,"nd",NA,"1E-4",1e-04,"nd",16,16,210,210,"Nepal","Eucalyptus camaldulensis, Gmelia arborea, Tectona grandis, Melia azedarach and Anthocephalus chinensis","number of contacts","agricultural extension","agricultural extension (number of contacts)"
"35",2,"Cereals","agroforestry","alley cropping","exotic tree species","mixied","diversity adoption (1=yes, 0=no)","partial correlation","Extension service: Total number of training received and visits by extension workers in the last five years","agricultural extension frequency","number of visits","continuous","none","Multinomial Logit (MNL) model","logit","coefficient value",0.529,0.529,"p value","3.0000000000000001E-3",0.003,"nd",NA,"3.0000000000000001E-3",0.003,"nd",16,16,222,222,"Nepal",NA,"number of contacts","agricultural extension","agricultural extension (number of contacts)"
"44",1,"nd","agroforestry","alley cropping","unespecified","n fixing","diversity adoption (1=yes, 0=no)","partial correlation","CONT (contact with agroforestry extension agents)","access to agricultural extension","1= yes, 0= no","categorical (binary)","none","Logit model","logit","coefficient value",3.1709,3.1709,"standard error","1.111",1.111,"2.8530000000000002",2.853,"0.05",0.05,"nd",14,14,156,156,"Cameroon","nd","1= yes, 0= no","agricultural extension","agricultural extension (1= yes, 0= no)"
"45",1,"nd","agroforestry","alley cropping","unespecified","n fixing","diversity adoption (1=yes, 0=no)","partial correlation","CONT (contact with agroforestry research, Extension or NGO)","access to agricultural extension","1= yes, 0= no","categorical (binary)","none","Logit model by a maximum likelihood method","logit","coefficient value",5.0395,5.0395,"standard error","2.0950000000000002",2.095,"nd",NA,"1.61E-2",0.0161,"nd",20,20,223,223,"Nigeria","nd","1= yes, 0= no","agricultural extension","agricultural extension (1= yes, 0= no)"
"45",2,"nd","agroforestry and fallow","alley cropping with fallow periods","unespecified","n fixing","diversity adoption (1=yes, 0=no)","partial correlation","CONT (contact with agroforestry research, Extension or NGO)","access to agricultural extension","1= yes, 0= no","categorical (binary)","none","Logit model by a maximum likelihood method","logit","coefficient value",1.8227,1.8227,"standard error","1.1532",1.1532,"nd",NA,"0.114",0.114,"nd",12,12,223,223,"Nigeria","nd","1= yes, 0= no","agricultural extension","agricultural extension (1= yes, 0= no)"
"49",1,"Cocoa","agroforestry","parklands","scattered trees",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Access Extension Service","access to agricultural extension","1= yes, 0= no","categorical (binary)","none","binomial logistic regression","logit","coefficient value",4.295,4.295,"standard error","1.0369999999999999",1.037,"nd",NA,"0.01",0.01,"nd",15,15,80,80,"Ghana","nd","1= yes, 0= no","agricultural extension","agricultural extension (1= yes, 0= no)"
"49",2,"Cocoa","agroforestry","parklands","scattered trees",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Access Extension Service","access to agricultural extension","1= yes, 0= no","categorical (binary)","none","probit estimation","probit","coefficient value",2.491,2.491,"standard error","0.56599999999999995",0.566,"nd",NA,"0.01",0.01,"nd",15,15,80,80,"Ghana","nd","1= yes, 0= no","agricultural extension","agricultural extension (1= yes, 0= no)"
"89",1,"nd","agroforestry","alley cropping","unespecified","unespecified","diversity adoption (1=yes, 0=no)","partial correlation","Ext. agent access (EAA)","access to agricultural extension","1= yes, 0= no","categorical (binary)","none","Logistic regression model","logit","coefficient value",2.27,2.27,"standard error","0.24299999999999999",0.243,"2.7549999999999999",2.755,"0.05",0.05,"nd",14,14,160,160,"Sierra Leone","nd","1= yes, 0= no","agricultural extension","agricultural extension (1= yes, 0= no)"
"93",1,"Maize","intercropping","annual crops",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Contact with advisers on soil conservation","agricultural extension frequency","scale 1-7 (7 = advice received a week ago; 6 = a month ago, 5 = three months ago, 4 = six months ago; 3 = a year ago, 2 = longer than a year ago; 1 = no contact)","categorical (multiple)","none","Logistic regression model","logit","coefficient value",-0.051,-0.051,"standard error","6.4000000000000001E-2",0.064,"nd",NA,"nd",NA,"nd",9,9,320,320,"Kenya","na","scale 1-7 (7 = advice received a week ago; 6 = a month ago, 5 = three months ago, 4 = six months ago; 3 = a year ago, 2 = longer than a year ago; 1 = no contact)","agricultural extension","agricultural extension (scale 1-7 (7 = advice received a week ago; 6 = a month ago, 5 = three months ago, 4 = six months ago; 3 = a year ago, 2 = longer than a year ago; 1 = no contact))"
"104",1,"nd","agroforestry","unspecified",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Extension contact (number)","agricultural extension frequency","number of visits","continuous","none","Multinomial logit (MNL) model","logit","coefficient value",0.134,0.134,"standard error","0.437",0.437,"nd",NA,"0.1",0.1,"nd",11,11,120,120,"Nigeria","nd","number of contacts","agricultural extension","agricultural extension (number of contacts)"
