"id","model_id","main_crop","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","y_metric_recla","effect_size_type","x_metric_raw","x_metric_recla","x_metric_unit","x_data_type","x_transformation","model_analysis_raw","model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","country","limitation","x_metric_unit_recla","factor","factor_metric_unit"
"21",10,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Km from homestead to nearest district agrodealer","distance to input market","km","continuous","none","correlated random effects probit model","probit","coefficient value",-0.000427,-0.000427,"robust standard error","0",0,"nd",NA,"nd",NA,"nd",30,30,14100,14100,"Zambia",NA,"km","distance to market","distance to market (km)"
"21",11,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"intensity (area under diversified farming system)","partial correlation","Km from homestead to nearest district agrodealer","distance to input market","km","continuous","none","truncated normal regression","truncated","coefficient value",0.00147,0.00147,"robust standard error","5.0000000000000001E-3",0.005,"nd",NA,"nd",NA,"nd",30,30,4858,4858,"Zambia",NA,"km","distance to market","distance to market (km)"
"21",12,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"intensity (percentage of area under diversified farming system)","partial correlation","Km from homestead to nearest district agrodealer","distance to input market","km","continuous","none","fractional response probit","probit","coefficient value",-0.000258,-0.000258,"robust standard error","0",0,"nd",NA,"0.1",0.1,"nd",30,30,14100,14100,"Zambia",NA,"km","distance to market","distance to market (km)"
"236",1,"Maize, rice","grazing cut and carry","agroforestry",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Accessibility to nearest market Farm and land characteristics","distance to market","minutes","continuous","none","Logistic regression","logit","coefficient value",0.099,0.099,"p value","1E-3",0.001,"nd",NA,"1E-3",0.001,"nd",12,12,150,150,"Indonesia","teak, acacia, mahogany","minutes","distance to market","distance to market (minutes)"
"270",1,"Maize","intercropping","annual crops","n fixing",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Distance to nearest main market","distance to market","minutes","continuous","none","Multivariate probit model","probit","coefficient value",0.001,0.001,"robust standard error","1E-3",0.001,"nd",NA,"0.1",0.1,"nd",30,30,2687,2687,"Kenya","na","minutes","distance to market","distance to market (minutes)"
"270",2,"Maize","crop rotation","rotation of annual crops","n fixing",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Distance to nearest main market","distance to market","minutes","continuous","none","Multivariate probit model","probit","coefficient value",0.001,0.001,"robust standard error","1E-3",0.001,"nd",NA,"0.1",0.1,"nd",30,30,2687,2687,"Kenya","na","minutes","distance to market","distance to market (minutes)"
"286",1,"Vegetables","crop rotation","rotation of annual crops","undefined",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Distance to input markets","distance to input market","km","continuous","none","logistic regression","logit","coefficient value",-1.777,-1.777,"p value","0.1",0.1,"nd",NA,"0.1",0.1,"nd",11,11,112,112,"Indonesia","nd","km","distance to market","distance to market (km)"
"286",2,"Vegetables","crop rotation","rotation of annual crops","undefined",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Distance to input markets","distance to input market","km","continuous","none","logistic regression","logit","coefficient value",-0.517,-0.517,"p value","0.05",0.05,"nd",NA,"0.05",0.05,"nd",11,11,112,112,"Indonesia","nd","km","distance to market","distance to market (km)"
"384",1,"Maize","intercropping","annual crops","n fixing",NA,"intensity (the quantity of intercropped legume seeds with maize kg/ha)","partial correlation","Log of time to the nearest market by car (min)","distance to market","minutes","continuous","log10","principal component analysis (PCA): household fixed-effects model","fixed_effects","coefficient value",0.134,0.134,"robust standard error","0.253",0.253,"nd",NA,"nd",NA,"nd",8,8,1750,1750,"Kenya","na","minutes","distance to market","distance to market (minutes)"
"387",1,"coffee","agroforestry","homegarden","trees, annual and perennial crops",NA,"species richness","partial correlation","distance to markets","distance to market","km","continuous","none","stepwise multiple linear regression analysis","other","coefficient value",0.2,0.2,"p value","0.05",0.05,"nd",NA,"0.05",0.05,"nd",8,8,144,144,"Ethiopia","nd","km","distance to market","distance to market (km)"
"387",2,"coffee","agroforestry","homegarden","trees, annual and perennial crops",NA,"shannon index","partial correlation","distance to markets","distance to market","km","continuous","none","stepwise multiple linear regression analysis","other","coefficient sign",NA,NA,"nd","nd",NA,"nd",NA,"nd",NA,"nd",8,8,144,144,"Ethiopia","nd","km","distance to market","distance to market (km)"
"387",3,"coffee","agroforestry","homegarden","trees, annual and perennial crops",NA,"evenness","partial correlation","distance to markets","distance to market","km","continuous","none","stepwise multiple linear regression analysis","other","coefficient value",-0.16,-0.16,"p value","0.05",0.05,"nd",NA,"0.05",0.05,"nd",8,8,144,144,"Ethiopia","nd","km","distance to market","distance to market (km)"
"388",1,"coffee","agroforestry","homegarden","trees, annual and perennial crops",NA,"species richness","partial correlation","distance to market","distance to market","km","continuous","none","stepwise multiple linear regression analysis","other","coefficient sign",NA,NA,"nd","nd",NA,"nd",NA,"nd",NA,"nd",8,8,144,144,"Ethiopia","nd","km","distance to market","distance to market (km)"
"388",2,"coffee","agroforestry","homegarden","trees, annual and perennial crops",NA,"abundance","partial correlation","distance to market","distance to market","km","continuous","none","stepwise multiple linear regression analysis","other","coefficient sign",NA,NA,"nd","nd",NA,"nd",NA,"nd",NA,"nd",8,8,144,144,"Ethiopia","nd","km","distance to market","distance to market (km)"
"388",3,"coffee","agroforestry","homegarden","trees, annual and perennial crops",NA,"abundance","partial correlation","distance to market","distance to market","km","continuous","none","stepwise multiple linear regression analysis","other","coefficient sign",NA,NA,"nd","nd",NA,"nd",NA,"nd",NA,"nd",8,8,144,144,"Ethiopia","nd","km","distance to market","distance to market (km)"
"388",4,"coffee","agroforestry","homegarden","trees, annual and perennial crops",NA,"shannon index","partial correlation","distance to market","distance to market","km","continuous","none","stepwise multiple linear regression analysis","other","coefficient sign",NA,NA,"nd","nd",NA,"nd",NA,"nd",NA,"nd",8,8,144,144,"Ethiopia","nd","km","distance to market","distance to market (km)"
"388",5,"coffee","agroforestry","homegarden","trees, annual and perennial crops",NA,"evenness","partial correlation","distance to market","distance to market","km","continuous","none","stepwise multiple linear regression analysis","other","coefficient sign",NA,NA,"nd","nd",NA,"nd",NA,"nd",NA,"nd",8,8,144,144,"Ethiopia","nd","km","distance to market","distance to market (km)"
"391",1,"nd","integrated crop-livestock",NA,NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","market distance","distance to market","km","continuous","none","Cragg two-step regression model -Step 1 Probit","probit","coefficient value",0.055,0.055,"standard error","5.8999999999999997E-2",0.059,"nd",NA,"nd",NA,"nd",17,17,608,608,"Ghana","nd","km","distance to market","distance to market (km)"
"391",2,"nd","integrated crop-livestock",NA,NA,NA,"herfindahl index","partial correlation","market distance","distance to market","km","continuous","none","Cragg two-step regression model -Step 2 truncated regression model","truncated","coefficient value",0.0018,0.0018,"standard error","1.9E-3",0.0019,"nd",NA,"nd",NA,"nd",17,17,593,593,"Ghana","nd","km","distance to market","distance to market (km)"
"406",1,"nd","crop rotation and intercropping","unespecified",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Distance to market","distance to market","1= Farmers’ house holds that could reach market center within 13 km (about 8 miles), 0=otherwise","categorical (binary)","none","multinomial logistic regression (MLR)","logit","coefficient value",0.201,0.201,"p value","0.85499999999999998",0.855,"nd",NA,"0.85499999999999998",0.855,"nd",12,12,212,212,"Myanmar","na","1= Farmers’ house holds that could reach market center within 13 km (about 8 miles), 0=otherwise","distance to market","distance to market (1= Farmers’ house holds that could reach market center within 13 km (about 8 miles), 0=otherwise)"
"443",1,"Cereals","crop rotation and intercropping","unespecified",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Distance to the nearest main crop market in kilometers","distance to market","km","continuous","none","probit regression model","probit","coefficient value",-0.001,-0.001,"standard error","1E-3",0.001,"nd",NA,"0.05",0.05,"nd",25,25,538,538,"Zimbabwe","na","km","distance to market","distance to market (km)"
"473",1,"Maize","intercropping","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Distance to main market (in walking minutes)","distance to market","minutes","continuous","none","multivariate probit mode","probit","coefficient value",-0.002,-0.002,"standard error","0",0,"nd",NA,"1E-3",0.001,"nd",32,32,1539,1539,"Tanzania",NA,"minutes","distance to market","distance to market (minutes)"
"473",2,"Maize","crop rotation","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Distance to main market (in walking minutes)","distance to market","minutes","continuous","none","multivariate probit mode","probit","coefficient value",0,0,"standard error","1E-3",0.001,"nd",NA,"nd",NA,"nd",32,32,1539,1539,"Tanzania",NA,"minutes","distance to market","distance to market (minutes)"
"476",1,"Maize","crop rotation","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Walking distance to input markets, minutes (10-²)","distance to market","minutes (10^-2)","continuous","none","multivariate probit mode","probit","coefficient value",-0.01,-1e-04,"standard error","0.1",0.001,"nd",NA,"nd",NA,"nd",30,30,1616,1616,"Ethiopia",NA,"minutes","distance to market","distance to market (minutes)"
"591",1,"Maize","intercropping","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Land-mkt distance (km)","distance to market","km","continuous","none","Multivariate CRE probit model","probit","coefficient value",-0.002,-0.002,"standard error","3.5000000000000001E-3",0.0035,"nd",NA,"nd",NA,"nd",24,24,1954,1954,"Tanzania",NA,"km","distance to market","distance to market (km)"
"607",1,"Maize","crop rotation","unespecified",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","distance from maize plot to Nearest market","distance to market","miles","continuous","none","Logit regressions model","logit","coefficient value",0.323,0.51981682,"p value","0.05",0.05,"nd",NA,"0.05",0.05,"nd",36,36,692,692,"Uganda",NA,"km","distance to market","distance to market (km)"
"624",1,"Maize","intercropping or crop rotation","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Market distance","distance to market","minutes","continuous","none","multivariate probit model","probit","coefficient value",0.229,0.229,"p value","0.05",0.05,"nd",NA,"0.05",0.05,"nd",27,27,1500,1500,"Kenya",NA,"minutes","distance to market","distance to market (minutes)"
