"id","model_id","main_crop","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","factor","factor_class","factor_sub_class","y_metric_recla","effect_size_type","x_metric_raw","x_metric_recla","x_metric_unit","x_data_type","x_transformation","model_analysis_raw","model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","country","limitation","x_metric_unit_recla","factor_metric_unit"
"211",1,"nd","agroforestry","homegarden","native and exotic trees species",NA,"farm altitude","biophysical","0","abundance","partial correlation","Middle altitude","farm altitude","1= middle altitude, 0= lower altitude","categorical (multiple)","none","GLM of the quasi-Poisson family","GLM","coefficient value",0.41,0.41,"p value","1E-3",0.001,"nd",NA,"1E-3",0.001,"nd",9,9,39,39,"Ethiopia","nd","1= middle altitude, 0= lower altitude","farm altitude (1= middle altitude, 0= lower altitude)"
"211",1,"nd","agroforestry","homegarden","native and exotic trees species",NA,"farm altitude","biophysical","0","abundance","partial correlation","Upper altitude","farm altitude","1= upper altitude, 0= lower altitude","categorical (multiple)","none","GLM of the quasi-Poisson family","GLM","coefficient value",0.14,0.14,"p value","1E-3",0.001,"nd",NA,"1E-3",0.001,"nd",9,9,39,39,"Ethiopia","nd","1= upper altitude, 0= lower altitude","farm altitude (1= upper altitude, 0= lower altitude)"
"211",2,"nd","agroforestry","homegarden","native and exotic trees species",NA,"farm altitude","biophysical","0","abundance","partial correlation","Middle altitude","farm altitude","1= middle altitude, 0= lower altitude","continuous","none","GLM of the quasi-Poisson family","GLM","coefficient value",1.22,1.22,"p value","1E-3",0.001,"nd",NA,"1E-3",0.001,"nd",9,9,39,39,"Ethiopia","nd","1= middle altitude, 0= lower altitude","farm altitude (1= middle altitude, 0= lower altitude)"
"211",2,"nd","agroforestry","homegarden","native and exotic trees species",NA,"farm altitude","biophysical","0","abundance","partial correlation","Upper altitude","farm altitude","1= upper altitude, 0= lower altitude","continuous","none","GLM of the quasi-Poisson family","GLM","coefficient value",1.27,1.27,"p value","1E-3",0.001,"nd",NA,"1E-3",0.001,"nd",9,9,39,39,"Ethiopia","nd","1= upper altitude, 0= lower altitude","farm altitude (1= upper altitude, 0= lower altitude)"
"236",1,"Maize, rice","grazing cut and carry","agroforestry",NA,NA,"farm altitude","biophysical","0","diversity adoption (1=yes, 0=no)","partial correlation","Elevation 3","farm altitude","3= ≥ 300–700 m above sea level; 0= 1 = 0–200 m above sea level","categorical (multiple)","none","Logistic regression","logit","coefficient value",1.708,1.708,"p value","0.04",0.04,"nd",NA,"0.04",0.04,"nd",12,12,150,150,"Indonesia","teak, acacia, mahogany","3= ≥ 300–700 m above sea level; 0= 1 = 0–200 m above sea level","farm altitude (3= ≥ 300–700 m above sea level; 0= 1 = 0–200 m above sea level)"
"236",1,"Maize, rice","grazing cut and carry","agroforestry",NA,NA,"farm altitude","biophysical","0","diversity adoption (1=yes, 0=no)","partial correlation","Elevation 2","farm altitude","2 = 200–300 m above sea level; 0= 1 = 0–200 m above sea level","categorical (multiple)","none","Logistic regression","logit","coefficient value",1.677,1.677,"p value","4.4999999999999998E-2",0.045,"nd",NA,"4.4999999999999998E-2",0.045,"nd",12,12,150,150,"Indonesia","teak, acacia, mahogany","2 = 200–300 m above sea level; 0= 1 = 0–200 m above sea level","farm altitude (2 = 200–300 m above sea level; 0= 1 = 0–200 m above sea level)"
"362",1,"Coffee","intercropping","perennial crops",NA,NA,"farm altitude","biophysical","0","diversity adoption (1=yes, 0=no)","partial correlation","farm altitude","farm altitude","m.a.s.l.","continuous","none","multinomial logistic regression","logit","coefficient value",0.001,0.001,"standard error","2.0000000000000001E-4",2e-04,"4.4000000000000004",4.4,"1.2500000000000001E-5",1.25e-05,"nd",2,2,98,98,"Uganda",NA,"m.a.s.l.","farm altitude (m.a.s.l.)"
"362",2,"Coffee","agroforestry","shaded perennial crop systems","high diversity",NA,"farm altitude","biophysical","0","diversity adoption (1=yes, 0=no)","partial correlation","farm altitude","farm altitude","m.a.s.l.","continuous","none","multinomial logistic regression","logit","coefficient value",-0.003,-0.003,"standard error","2.0000000000000001E-4",2e-04,"-12.5",-12.5,"0",0,"nd",2,2,100,100,"Uganda",NA,"m.a.s.l.","farm altitude (m.a.s.l.)"
"362",3,"Coffee","agroforestry","shaded perennial crop systems","high diversity",NA,"farm altitude","biophysical","0","diversity adoption (1=yes, 0=no)","partial correlation","farm altitude","farm altitude","m.a.s.l.","continuous","none","multinomial logistic regression","logit","coefficient value",-0.004,-0.004,"standard error","2.9999999999999997E-4",3e-04,"-15.1",-15.1,"0",0,"nd",2,2,90,90,"Uganda",NA,"m.a.s.l.","farm altitude (m.a.s.l.)"
"362",5,"Coffee","intercropping","perennial crops",NA,NA,"farm altitude","biophysical","0","abundance","partial correlation","Log(altitude)","farm altitude","log(m.a.s.l.)","continuous","log10","Zero hurdle model coefficients (binomial with logit link)","logit","coefficient value",-1.3,-1.3,"standard error","0.3",0.3,"-4.5",-4.5,"6.8399999999999997E-6",6.84e-06,"nd",4,4,98,98,"Uganda",NA,"m.a.s.l.","farm altitude (m.a.s.l.)"
"362",6,"Coffee","agroforestry","shaded perennial crop systems","high diversity",NA,"farm altitude","biophysical","0","abundance","partial correlation","Log(altitude)","farm altitude","log(m.a.s.l.)","continuous","log10","Count model coefficients (truncated negbin with log link)","truncated","coefficient value",-1.3,-1.3,"standard error","0.3",0.3,"6.8399999999999997E-6",6.84e-06,"0",0,"nd",4,4,100,100,"Uganda","interaction between factors included","m.a.s.l.","farm altitude (m.a.s.l.)"
"387",1,"coffee","agroforestry","homegarden","trees, annual and perennial crops",NA,"farm altitude","biophysical","0","species richness","partial correlation","altitude of the farm","farm altitude","m.a.s.l.","continuous","none","stepwise multiple linear regression analysis","other","coefficient sign",NA,NA,"nd","nd",NA,"nd",NA,"nd",NA,"nd",8,8,144,144,"Ethiopia","nd","m.a.s.l.","farm altitude (m.a.s.l.)"
"387",2,"coffee","agroforestry","homegarden","trees, annual and perennial crops",NA,"farm altitude","biophysical","0","shannon index","partial correlation","altitude of the farm","farm altitude","m.a.s.l.","continuous","none","stepwise multiple linear regression analysis","other","coefficient value",-0.42,-0.42,"p value","1E-3",0.001,"nd",NA,"1E-3",0.001,"nd",8,8,144,144,"Ethiopia","nd","m.a.s.l.","farm altitude (m.a.s.l.)"
"387",3,"coffee","agroforestry","homegarden","trees, annual and perennial crops",NA,"farm altitude","biophysical","0","evenness","partial correlation","altitude of the farm","farm altitude","m.a.s.l.","continuous","none","stepwise multiple linear regression analysis","other","coefficient value",-0.37,-0.37,"p value","1E-3",0.001,"nd",NA,"1E-3",0.001,"nd",8,8,144,144,"Ethiopia","nd","m.a.s.l.","farm altitude (m.a.s.l.)"
"388",1,"coffee","agroforestry","homegarden","trees, annual and perennial crops",NA,"farm altitude","biophysical","0","species richness","partial correlation","altitude of the farm","farm altitude","m.a.s.l.","continuous","none","stepwise multiple linear regression analysis","other","coefficient sign",NA,NA,"nd","nd",NA,"nd",NA,"nd",NA,"nd",8,8,144,144,"Ethiopia","nd","m.a.s.l.","farm altitude (m.a.s.l.)"
"388",2,"coffee","agroforestry","homegarden","trees, annual and perennial crops",NA,"farm altitude","biophysical","0","abundance","partial correlation","altitude of the farm","farm altitude","m.a.s.l.","continuous","none","stepwise multiple linear regression analysis","other","coefficient value",0.15,0.15,"p value","0.05",0.05,"nd",NA,"0.05",0.05,"nd",8,8,144,144,"Ethiopia","nd","m.a.s.l.","farm altitude (m.a.s.l.)"
"388",3,"coffee","agroforestry","homegarden","trees, annual and perennial crops",NA,"farm altitude","biophysical","0","abundance","partial correlation","altitude of the farm","farm altitude","m.a.s.l.","continuous","none","stepwise multiple linear regression analysis","other","coefficient value",0.24,0.24,"p value","0.01",0.01,"nd",NA,"0.01",0.01,"nd",8,8,144,144,"Ethiopia","nd","m.a.s.l.","farm altitude (m.a.s.l.)"
"388",4,"coffee","agroforestry","homegarden","trees, annual and perennial crops",NA,"farm altitude","biophysical","0","shannon index","partial correlation","altitude of the farm","farm altitude","m.a.s.l.","continuous","none","stepwise multiple linear regression analysis","other","coefficient sign",NA,NA,"nd","nd",NA,"nd",NA,"nd",NA,"nd",8,8,144,144,"Ethiopia","nd","m.a.s.l.","farm altitude (m.a.s.l.)"
"388",5,"coffee","agroforestry","homegarden","trees, annual and perennial crops",NA,"farm altitude","biophysical","0","evenness","partial correlation","altitude of the farm","farm altitude","m.a.s.l.","continuous","none","stepwise multiple linear regression analysis","other","coefficient sign",NA,NA,"nd","nd",NA,"nd",NA,"nd",NA,"nd",8,8,144,144,"Ethiopia","nd","m.a.s.l.","farm altitude (m.a.s.l.)"
"433",1,"Tea","agroforestry","shaded perennial crop systems",NA,NA,"farm altitude","biophysical","0","diversity adoption (1=yes, 0=no)","partial correlation","Tea growing elevation - Mid","farm altitude","1 = up, 2 = mid, 3 = low","categorical (multiple)","none","multinomial logit model","logit","coefficient value",1.358,1.358,"p value","0.27600000000000002",0.276,"nd",NA,"0.27600000000000002",0.276,"nd",6,6,50,50,"India","nd","1 = up, 2 = mid, 3 = low","farm altitude (1 = up, 2 = mid, 3 = low)"
"433",1,"Tea","agroforestry","shaded perennial crop systems",NA,NA,"farm altitude","biophysical","0","diversity adoption (1=yes, 0=no)","partial correlation","Tea growing elevation - Low","farm altitude","1 = up, 2 = mid, 3 = low","categorical (multiple)","none","multinomial logit model","logit","coefficient value",-0.563,-0.563,"p value","0.66700000000000004",0.667,"nd",NA,"0.66700000000000004",0.667,"nd",6,6,50,50,"India","nd","1 = up, 2 = mid, 3 = low","farm altitude (1 = up, 2 = mid, 3 = low)"
"607",1,"Maize","crop rotation","unespecified",NA,NA,"farm altitude","biophysical","0","diversity adoption (1=yes, 0=no)","partial correlation","Altitude","farm altitude","m.a.s.l.","continuous","none","Logit regressions model","logit","coefficient value",-0.002,-0.002,"p value","0.01",0.01,"nd",NA,"0.01",0.01,"nd",36,36,692,692,"Uganda",NA,"m.a.s.l.","farm altitude (m.a.s.l.)"
"808",1,"nd","agroforestry","unespecified",NA,NA,"farm altitude","biophysical","0","diversity adoption (1=yes, 0=no)","partial correlation","Upland area","farm altitude","1= upland area, 0= otherwise","categorical (binary)","none","logit model","logit","coefficient value",-0.05,-0.05,"standard error","0.05",0.05,"nd",NA,"nd",NA,"nd",14,14,300,300,"Indonesia",NA,"1= upland area, 0= otherwise","farm altitude (1= upland area, 0= otherwise)"
"808",2,"nd","agroforestry","unespecified",NA,NA,"farm altitude","biophysical","0","diversity adoption (1=yes, 0=no)","partial correlation","Upland area","farm altitude","1= upland area, 0= otherwise","categorical (binary)","none","conditional logit","logit","coefficient value",0.04,0.04,"standard error","0.04",0.04,"nd",NA,"nd",NA,"nd",14,14,300,300,"Indonesia",NA,"1= upland area, 0= otherwise","farm altitude (1= upland area, 0= otherwise)"
"940",1,"Rubber","agroforestry","alley cropping","intercroped",NA,"farm altitude","biophysical","0","diversity adoption (1=yes, 0=no)","partial correlation","Altitude","farm altitude","m.a.s.l","continuous","none","multinomial logit model","logit","coefficient value",0.004,0.004,"standard error","1E-3",0.001,"nd",NA,"0.01",0.01,"nd",15,15,612,612,"China",NA,"m.a.s.l.","farm altitude (m.a.s.l.)"
