"id","model_id","main_crop","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","factor","factor_class","factor_sub_class","y_metric_recla","effect_size_type","x_metric_raw","x_metric_recla","x_metric_unit","x_data_type","x_transformation","model_analysis_raw","model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","country","limitation","x_metric_unit_recla","factor_metric_unit"
"114",1,"Soybean","integrated crop-livestock",NA,NA,NA,"farm labour force","socio-economic","social capital","diversity adoption (1=yes, 0=no)","partial correlation","number of farms workers.  Continuous (in number of employees)","farm labour force (hired)","number of employees","continuous","none","logistic regression","logit","marginal effect",0.005,0.005,"standard error","3.0000000000000001E-3",0.003,"nd",NA,"nd",NA,"14",14,14,145,145,"Brazil","na","number of people","farm labour force (number of people)"
"190",1,"nd","crop rotation","rotation of annual crops","undefined",NA,"farm labour force","socio-economic","social capital","diversity adoption (1=yes, 0=no)","partial correlation","Number of household members participating in agricultural production (number)","farm labour force (non-hired)","number of people","continuous","none","random-effects probit model with Mundlak approach;","probit","coefficient value",0.005,0.005,"standard error","3.0000000000000001E-3",0.003,"nd",NA,"nd",NA,"nd",24,24,28593,28593,"Vietnam",NA,"number of people","farm labour force (number of people)"
"190",2,"nd","intercropping","unespecified",NA,NA,"farm labour force","socio-economic","social capital","diversity adoption (1=yes, 0=no)","partial correlation","Number of household members participating in agricultural production (number)","farm labour force (non-hired)","number of people","continuous","none","random-effects probit model with Mundlak approach;","probit","coefficient value",-1e-04,-1e-04,"standard error","1E-3",0.001,"nd",NA,"nd",NA,"nd",24,24,29323,29323,"Vietnam",NA,"number of people","farm labour force (number of people)"
"190",3,"nd","land with temporary fallow","natural fallow",NA,NA,"farm labour force","socio-economic","social capital","diversity adoption (1=yes, 0=no)","partial correlation","Number of household members participating in agricultural production (number)","farm labour force (non-hired)","number of people","continuous","none","random-effects probit model with Mundlak approach;","probit","coefficient value",-1e-04,-1e-04,"standard error","2E-3",0.002,"nd",NA,"nd",NA,"nd",23,23,27233,27233,"Vietnam",NA,"number of people","farm labour force (number of people)"
"190",4,"nd","crop rotation","rotation of annual crops","undefined",NA,"farm labour force","socio-economic","social capital","diversity adoption (1=yes, 0=no)","partial correlation","Number of household members participating in agricultural production (number)","farm labour force (non-hired)","number of people","continuous","none","fixed-effects linear probability model","Linear probability model","coefficient value",0.006,0.006,"standard error","5.0000000000000001E-3",0.005,"nd",NA,"0.1",0.1,"nd",23,23,28593,28593,"Vietnam",NA,"number of people","farm labour force (number of people)"
"190",5,"nd","intercropping","unespecified",NA,NA,"farm labour force","socio-economic","social capital","diversity adoption (1=yes, 0=no)","partial correlation","Number of household members participating in agricultural production (number)","farm labour force (non-hired)","number of people","continuous","none","fixed-effects linear probability model","Linear probability model","coefficient value",-0.001,-0.001,"standard error","2E-3",0.002,"nd",NA,"nd",NA,"nd",23,23,29323,29323,"Vietnam",NA,"number of people","farm labour force (number of people)"
"190",6,"nd","land with temporary fallow","natural fallow",NA,NA,"farm labour force","socio-economic","social capital","diversity adoption (1=yes, 0=no)","partial correlation","Number of household members participating in agricultural production (number)","farm labour force (non-hired)","number of people","continuous","none","fixed-effects linear probability model","Linear probability model","coefficient value",0.003,0.003,"standard error","4.0000000000000001E-3",0.004,"nd",NA,"nd",NA,"nd",23,23,27233,27233,"Vietnam",NA,"number of people","farm labour force (number of people)"
"193",1,"nd","crop rotation","unespecified",NA,NA,"farm labour force","socio-economic","social capital","diversity adoption (1=yes, 0=no)","partial correlation","No. of women in agriculture","farm labour force (non-hired)","Number of women in agriculture","continuous","none","extended binary probit model","probit","coefficient value",0.058,0.058,"standard error","0.22600000000000001",0.226,"nd",NA,"nd",NA,"nd",27,27,234,234,"Moldova","na","number of people","farm labour force (number of people)"
"193",1,"nd","crop rotation","unespecified",NA,NA,"farm labour force","socio-economic","social capital","diversity adoption (1=yes, 0=no)","partial correlation","No. of men in agriculture","farm labour force (non-hired)","Number of men in agriculture","continuous","none","extended binary probit model","probit","coefficient value",0.087,0.087,"standard error","0.24",0.24,"nd",NA,"nd",NA,"nd",27,27,234,234,"Moldova","na","number of people","farm labour force (number of people)"
"193",1,"nd","crop rotation","unespecified",NA,NA,"farm labour force","socio-economic","social capital","diversity adoption (1=yes, 0=no)","partial correlation","Household hired labour last year (0/1)","farm labour force (hired)","1= yes, 0= no","continuous","none","extended binary probit model","probit","coefficient value",0.339,0.339,"standard error","0.29899999999999999",0.299,"nd",NA,"nd",NA,"nd",27,27,234,234,"Moldova","na","1= yes, 0= no","farm labour force (1= yes, 0= no)"
"193",2,"nd","crop rotation","unespecified",NA,NA,"farm labour force","socio-economic","social capital","diversity adoption (1=yes, 0=no)","partial correlation","Household hired labour last year (0/1)","farm labour force (hired)","1= yes, 0= no","continuous","none","binary probit model","probit","coefficient value",-0.594,-0.594,"robust standard error","0.40100000000000002",0.401,"nd",NA,"nd",NA,"nd",15,15,234,234,"Moldova","na","1= yes, 0= no","farm labour force (1= yes, 0= no)"
"193",2,"nd","crop rotation","unespecified",NA,NA,"farm labour force","socio-economic","social capital","diversity adoption (1=yes, 0=no)","partial correlation","No. of men in agriculture","farm labour force (non-hired)","Number of men in agriculture","continuous","none","binary probit model","probit","coefficient value",-0.007,-0.007,"robust standard error","0.182",0.182,"nd",NA,"nd",NA,"nd",15,15,234,234,"Moldova","na","number of people","farm labour force (number of people)"
"193",2,"nd","crop rotation","unespecified",NA,NA,"farm labour force","socio-economic","social capital","diversity adoption (1=yes, 0=no)","partial correlation","No. of women in agriculture","farm labour force (non-hired)","Number of women in agriculture","continuous","none","binary probit model","probit","coefficient value",0.097,0.097,"robust standard error","0.156",0.156,"nd",NA,"nd",NA,"nd",15,15,234,234,"Moldova","na","number of people","farm labour force (number of people)"
"193",3,"nd","crop rotation","unespecified",NA,NA,"farm labour force","socio-economic","social capital","diversity adoption (1=yes, 0=no)","partial correlation","Household hired labour last year (0/1)","farm labour force (hired)","1= yes, 0= no","continuous","none","binary probit model","probit","coefficient value",-0.685,-0.685,"robust standard error","0.58799999999999997",0.588,"nd",NA,"nd",NA,"nd",25,25,234,234,"Moldova","na","1= yes, 0= no","farm labour force (1= yes, 0= no)"
"193",3,"nd","crop rotation","unespecified",NA,NA,"farm labour force","socio-economic","social capital","diversity adoption (1=yes, 0=no)","partial correlation","No. of men in agriculture","farm labour force (non-hired)","Number of men in agriculture","continuous","none","binary probit model","probit","coefficient value",0.039,0.039,"robust standard error","0.154",0.154,"nd",NA,"nd",NA,"nd",25,25,234,234,"Moldova","na","number of people","farm labour force (number of people)"
"193",3,"nd","crop rotation","unespecified",NA,NA,"farm labour force","socio-economic","social capital","diversity adoption (1=yes, 0=no)","partial correlation","No. of women in agriculture","farm labour force (non-hired)","Number of women in agriculture","continuous","none","binary probit model","probit","coefficient value",0.271,0.271,"robust standard error","0.17199999999999999",0.172,"nd",NA,"nd",NA,"nd",25,25,234,234,"Moldova","na","number of people","farm labour force (number of people)"
"236",1,"Maize, rice","grazing cut and carry","agroforestry",NA,NA,"farm labour force","socio-economic","social capital","diversity adoption (1=yes, 0=no)","partial correlation","Number of farm laborers","farm labour force (non-hired)","1 = Number of family members working as farm labor is more than one; 0 = Number of family members working as farm labor is one","categorical (binary)","none","Logistic regression","logit","coefficient value",-0.371,-0.371,"p value","0.58599999999999997",0.586,"nd",NA,"0.58599999999999997",0.586,"nd",12,12,150,150,"Indonesia","teak, acacia, mahogany","1 = Number of family members working as farm labor is more than one; 0 = Number of family members working as farm labor is one","farm labour force (1 = Number of family members working as farm labor is more than one; 0 = Number of family members working as farm labor is one)"
