"id","model_id","main_crop","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","y_metric_recla","effect_size_type","x_metric_raw","x_metric_recla","x_metric_unit","x_data_type","x_transformation","model_analysis_raw","model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","country","limitation","x_metric_unit_recla","factor","factor_metric_unit"
"21",1,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Landholding (ha)","farm size","ha","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",0.0992,0.0992,"robust standard error","8.0000000000000002E-3",0.008,"nd",NA,"0.01",0.01,"nd",31,31,7934,7934,"Zambia",NA,"ha","farm size","farm size (ha)"
"21",1,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Landholding squared (ha)","farm size","(ha)^2","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",-0.00117,-0.00117,"robust standard error","0",0,"nd",NA,"0.01",0.01,"nd",31,31,7934,7934,"Zambia",NA,"(ha)^2","farm size","farm size ((ha)^2)"
"21",2,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"intensity (area under diversified farming system)","partial correlation","Landholding (ha)","farm size","ha","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",0.417,0.417,"robust standard error","3.5000000000000003E-2",0.035,"nd",NA,"0.01",0.01,"nd",31,31,7934,7934,"Zambia",NA,"ha","farm size","farm size (ha)"
"21",2,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"intensity (area under diversified farming system)","partial correlation","Landholding squared (ha)","farm size","(ha)^2","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",0.00488,0.00488,"robust standard error","1E-3",0.001,"nd",NA,"0.01",0.01,"nd",31,31,7934,7934,"Zambia",NA,"(ha)^2","farm size","farm size ((ha)^2)"
"21",3,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"intensity (percentage of area under diversified farming system)","partial correlation","Landholding (ha)","farm size","ha","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",0.0569,0.0569,"robust standard error","4.0000000000000001E-3",0.004,"nd",NA,"0.01",0.01,"nd",31,31,7934,7934,"Zambia",NA,"ha","farm size","farm size (ha)"
"21",3,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"intensity (percentage of area under diversified farming system)","partial correlation","Landholding squared (ha)","farm size","(ha)^2","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",-0.000591,-0.000591,"robust standard error","0",0,"nd",NA,"0.01",0.01,"nd",31,31,7934,7934,"Zambia",NA,"(ha)^2","farm size","farm size ((ha)^2)"
"21",4,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Landholding (ha)","farm size","ha","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",-0.00348,-0.00348,"robust standard error","6.0000000000000001E-3",0.006,"nd",NA,"nd",NA,"nd",31,31,14100,14100,"Zambia",NA,"ha","farm size","farm size (ha)"
"21",4,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Landholding squared (ha)","farm size","(ha)^2","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",0.00038,0.00038,"robust standard error","1.7000000000000001E-2",0.017,"nd",NA,"nd",NA,"nd",31,31,14100,14100,"Zambia",NA,"(ha)^2","farm size","farm size ((ha)^2)"
"21",5,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"intensity (area under diversified farming system)","partial correlation","Landholding (ha)","farm size","ha","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",-0.0807,-0.0807,"robust standard error","2.5000000000000001E-2",0.025,"nd",NA,"0.01",0.01,"nd",31,31,14100,14100,"Zambia",NA,"ha","farm size","farm size (ha)"
"21",5,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"intensity (area under diversified farming system)","partial correlation","Landholding squared (ha)","farm size","(ha)^2","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",0.0144,0.0144,"robust standard error","3.2000000000000001E-2",0.032,"nd",NA,"nd",NA,"nd",31,31,14100,14100,"Zambia",NA,"(ha)^2","farm size","farm size ((ha)^2)"
"21",6,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"intensity (percentage of area under diversified farming system)","partial correlation","Landholding (ha)","farm size","ha","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",-0.00865,-0.00865,"robust standard error","3.0000000000000001E-3",0.003,"nd",NA,"0.05",0.05,"nd",31,31,14100,14100,"Zambia",NA,"ha","farm size","farm size (ha)"
"21",6,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"intensity (percentage of area under diversified farming system)","partial correlation","Landholding squared (ha)","farm size","(ha)^2","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",-0.00149,-0.00149,"robust standard error","8.0000000000000002E-3",0.008,"nd",NA,"nd",NA,"nd",31,31,14100,14100,"Zambia",NA,"(ha)^2","farm size","farm size ((ha)^2)"
"21",7,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Landholding (ha)","farm size","ha","continuous","none","correlated random effects probit model","probit","coefficient value",0.1,0.1,"robust standard error","7.0000000000000001E-3",0.007,"nd",NA,"0.01",0.01,"nd",34,34,7934,7934,"Zambia",NA,"ha","farm size","farm size (ha)"
"21",8,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"intensity (area under diversified farming system)","partial correlation","Landholding (ha)","farm size","ha","continuous","none","truncated normal regression","truncated","coefficient value",1.01,1.01,"robust standard error","0.06",0.06,"nd",NA,"0.01",0.01,"nd",34,34,2861,2861,"Zambia",NA,"ha","farm size","farm size (ha)"
"21",9,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"intensity (percentage of area under diversified farming system)","partial correlation","Landholding (ha)","farm size","ha","continuous","none","fractional response probit","probit","coefficient value",0.0437,0.0437,"robust standard error","3.0000000000000001E-3",0.003,"nd",NA,"0.01",0.01,"nd",34,34,7934,7934,"Zambia",NA,"ha","farm size","farm size (ha)"
