"id","model_id","main_crop","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","y_metric_recla","effect_size_type","x_metric_raw","x_metric_recla","x_metric_unit","x_transformation","model_analysis_raw","model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","country","limitation_of_use","x_metric_unit_recla","factor","factor_metric_unit"
"21",7,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Terrain steepness (degrees)","soil slope","degrees","none","correlated random effects probit model","probit","coefficient value","-5.5500000000000002E-3",-0.00555,"robust standard error","5.0000000000000001E-3",0.005,"nd",NA,"nd",NA,"nd","34",34,7934,7934,"Zambia",NA,"degrees","farm/plot slope","farm/plot slope (degrees)"
"21",8,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"intensity (area under diversified farming system)","partial correlation","Terrain steepness (degrees)","soil slope","degrees","none","truncated normal regression","truncated","coefficient value","2.3599999999999999E-2",0.0236,"robust standard error","3.9E-2",0.039,"nd",NA,"nd",NA,"nd","34",34,2861,2861,"Zambia",NA,"degrees","farm/plot slope","farm/plot slope (degrees)"
"21",9,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"intensity (percentage of area under diversified farming system)","partial correlation","Terrain steepness (degrees)","soil slope","degrees","none","fractional response probit","probit","coefficient value","-4.2399999999999998E-3",-0.00424,"robust standard error","3.0000000000000001E-3",0.003,"nd",NA,"0.1",0.1,"nd","34",34,7934,7934,"Zambia",NA,"degrees","farm/plot slope","farm/plot slope (degrees)"
"114",1,"Soybean","integrated crop-livestock",NA,NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","farm topography - flat","hh perception of farm slope","Ranked by interviewee along a scale of 1 to 4 with 1 indicating very flat slopes and 4 indicating very steep slopes","none","logistic regression","logit","marginal effect","8.8999999999999996E-2",0.089,"standard error","8.7999999999999995E-2",0.088,"nd",NA,"nd",NA,"14","14",14,145,145,"Brazil",NA,"Ranked by interviewee along a scale of 1 to 4 with 1 indicating very flat slopes and 4 indicating very steep slopes","farm/plot slope","farm/plot slope (Ranked by interviewee along a scale of 1 to 4 with 1 indicating very flat slopes and 4 indicating very steep slopes)"
"190",1,"nd","crop rotation","rotation of annual crops","undefined",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Slight slope (= 1 if yes)","soil slope","1= slight slope, 0= otherwise","none","random-effects probit model with Mundlak approach;","probit","coefficient value","2.5000000000000001E-2",0.025,"standard error","8.0000000000000002E-3",0.008,"nd",NA,"0.01",0.01,"nd","24",24,28593,28593,"Vietnam",NA,"1= slight slope, 0= otherwise","farm/plot slope","farm/plot slope (1= slight slope, 0= otherwise)"
"190",1,"nd","crop rotation","rotation of annual crops","undefined",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Moderate slope (= 1 if yes)","soil slope","1= moderate slope, 0= otherwise","none","random-effects probit model with Mundlak approach;","probit","coefficient value","1.0999999999999999E-2",0.011,"standard error","0.01",0.01,"nd",NA,"nd",NA,"nd","24",24,28593,28593,"Vietnam",NA,"1= moderate slope, 0= otherwise","farm/plot slope","farm/plot slope (1= moderate slope, 0= otherwise)"
"190",1,"nd","crop rotation","rotation of annual crops","undefined",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Steep slope (=1 if yes)","soil slope","1= steep slope, 0= otherwise","none","random-effects probit model with Mundlak approach;","probit","coefficient value","-4.8000000000000001E-2",-0.048,"standard error","2.7E-2",0.027,"nd",NA,"0.1",0.1,"nd","24",24,28593,28593,"Vietnam",NA,"1= steep slope, 0= otherwise","farm/plot slope","farm/plot slope (1= steep slope, 0= otherwise)"
"190",2,"nd","intercropping","unespecified",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Slight slope (= 1 if yes)","soil slope","1= slight slope, 0= otherwise","none","random-effects probit model with Mundlak approach;","probit","coefficient value","1.4E-2",0.014,"standard error","3.0000000000000001E-3",0.003,"nd",NA,"0.01",0.01,"nd","24",24,29323,29323,"Vietnam",NA,"1= slight slope, 0= otherwise","farm/plot slope","farm/plot slope (1= slight slope, 0= otherwise)"
"190",2,"nd","intercropping","unespecified",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Moderate slope (= 1 if yes)","soil slope","1= moderate slope, 0= otherwise","none","random-effects probit model with Mundlak approach;","probit","coefficient value","1.7000000000000001E-2",0.017,"standard error","5.0000000000000001E-3",0.005,"nd",NA,"0.01",0.01,"nd","24",24,29323,29323,"Vietnam",NA,"1= moderate slope, 0= otherwise","farm/plot slope","farm/plot slope (1= moderate slope, 0= otherwise)"
"190",2,"nd","intercropping","unespecified",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Steep slope (=1 if yes)","soil slope","1= steep slope, 0= otherwise","none","random-effects probit model with Mundlak approach;","probit","coefficient value","4.8000000000000001E-2",0.048,"standard error","1.0999999999999999E-2",0.011,"nd",NA,"0.01",0.01,"nd","24",24,29323,29323,"Vietnam",NA,"1= steep slope, 0= otherwise","farm/plot slope","farm/plot slope (1= steep slope, 0= otherwise)"
