"id","model_id","main_crop","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","factor","factor_class","factor_sub_class","y_metric_recla","effect_size_type","x_metric_raw","x_metric_recla","x_metric_unit","x_data_type","x_transformation","model_analysis_raw","model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","country","limitation","x_metric_unit_recla","factor_metric_unit"
"35",1,"Cereals","agroforestry","woodlot","exotic tree species",NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Household size","h size","number of people","continuous","none","Multinomial Logit (MNL) model","logit","coefficient value",-0.618,-0.618,"p value","4.1000000000000002E-2",0.041,"nd",NA,"4.1000000000000002E-2",0.041,"nd",16,16,210,210,"Nepal","Eucalyptus camaldulensis, Gmelia arborea, Tectona grandis, Melia azedarach and Anthocephalus chinensis","number of people","h size (number of people)"
"35",2,"Cereals","agroforestry","alley cropping","exotic tree species","mixied","h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Household size","h size","number of people","continuous","none","Multinomial Logit (MNL) model","logit","coefficient value",-0.078,-0.078,"p value","0.57999999999999996",0.58,"nd",NA,"0.57999999999999996",0.58,"nd",16,16,222,222,"Nepal",NA,"number of people","h size (number of people)"
"44",1,"nd","agroforestry","alley cropping","unespecified","n fixing","h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","FHSIZE (size of household)","h size","number of people","continuous","none","Logit model","logit","coefficient value",-0.0012593,-0.0012593,"standard error","5.4179999999999999E-2",0.05418,"-2.3E-2",-0.023,"nd",NA,"nd",14,14,156,156,"Cameroon","nd","number of people","h size (number of people)"
"45",1,"nd","agroforestry","alley cropping","unespecified","n fixing","h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","FHHSIZE (family size)","h size","number of people","continuous","none","Logit model by a maximum likelihood method","logit","coefficient value",-0.0154,-0.0154,"standard error","2.9100000000000001E-2",0.0291,"nd",NA,"0.59760000000000002",0.5976,"nd",20,20,223,223,"Nigeria","nd","number of people","h size (number of people)"
"45",2,"nd","agroforestry and fallow","alley cropping with fallow periods","unespecified","n fixing","h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","FHHSIZE (family size)","h size","number of people","continuous","none","Logit model by a maximum likelihood method","logit","coefficient value",0.0803,0.0803,"standard error","7.3800000000000004E-2",0.0738,"nd",NA,"0.27760000000000001",0.2776,"nd",12,12,223,223,"Nigeria","nd","number of people","h size (number of people)"
"78",1,"Mixed","agroforestry and fallow","agroforestry and fallow period","natural fallow",NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","HH size","h size","number of people","continuous","none","Logistic model regression","logit","coefficient value",0.008,0.008,"standard error","9.1999999999999998E-2",0.092,"nd",NA,"0.92800000000000005",0.928,"nd",18,18,144,144,"Tanzania","Grevillea robusta, Allanblackia nuts","number of people","h size (number of people)"
"89",1,"nd","agroforestry","alley cropping","unespecified","unespecified","h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Household size (HHS)","h size","number of people","continuous","none","Logistic regression model","logit","coefficient value",-0.02,-0.02,"standard error","4.2999999999999997E-2",0.043,"-2.1000000000000001E-2",-0.021,"nd",NA,"nd",14,14,160,160,"Sierra Leone","nd","number of people","h size (number of people)"
"93",1,"Maize","intercropping","annual crops",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Household size","h size","number of people","continuous","none","Logistic regression model","logit","coefficient value",-0.051,-0.051,"standard error","4.4999999999999998E-2",0.045,"nd",NA,"nd",NA,"nd",9,9,320,320,"Kenya","na","number of people","h size (number of people)"
"104",1,"nd","agroforestry","unspecified",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Household size (number)","h size","number of people","continuous","none","Multinomial logit (MNL) model","logit","coefficient value",0.134,0.134,"standard error","0.28000000000000003",0.28,"nd",NA,"0.1",0.1,"nd",11,11,120,120,"Nigeria","nd","number of people","h size (number of people)"
"104",2,"nd","crop rotation","cover crops","maintain soil moisture",NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Household size (number)","h size","number of people","continuous","none","Multinomial logit (MNL) model","logit","coefficient value",-0.654,-0.654,"standard error","1",1,"nd",NA,"0.1",0.1,"nd",11,11,120,120,"Nigeria","na","number of people","h size (number of people)"
"200",1,"Maize","crop rotation","rotation of annual crops","undefined",NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Household size","h size","number of people","continuous","none","binary logistic regression model","logit","coefficient value",-0.16,-0.16,"p value","0.21",0.21,"nd",NA,"0.21",0.21,"nd",22,22,135,135,"South Africa","na","number of people","h size (number of people)"
"211",1,"nd","agroforestry","homegarden","native and exotic trees species",NA,"h size","social","socio-demographic","abundance","partial correlation","Family size","h size","number of people","continuous","none","GLM of the quasi-Poisson family","GLM","coefficient value",0.04,0.04,"p value","1E-3",0.001,"nd",NA,"1E-3",0.001,"nd",9,9,39,39,"Ethiopia","nd","number of people","h size (number of people)"
"211",2,"nd","agroforestry","homegarden","native and exotic trees species",NA,"h size","social","socio-demographic","abundance","partial correlation","Family size","h size","number of people","continuous","none","GLM of the quasi-Poisson family","GLM","coefficient value",0.03,0.03,"p value","1E-3",0.001,"nd",NA,"1E-3",0.001,"nd",9,9,39,39,"Ethiopia","nd","number of people","h size (number of people)"
"225",1,"Coffee","agroforestry","shaded perennial crop systems",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","HHcomp","h size","1= <4 members, 2= 5–8 member, 3= 9–12 member, 4= above 12 member","categorical (multiple)","none","Logistic regression tests","logit","coefficient value",2.78,2.78,"standard error","1.32",1.32,"2.11",2.11,"0.04",0.04,"nd",8,8,120,120,"Ethiopia","nd","1= <4 members, 2= 5–8 member, 3= 9–12 member, 4= above 12 member","h size (1= <4 members, 2= 5–8 member, 3= 9–12 member, 4= above 12 member)"
"270",1,"Maize","intercropping","annual crops","n fixing",NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Household size","h size","number of people","continuous","none","Multivariate probit model","probit","coefficient value",0.018,0.018,"robust standard error","1.2E-2",0.012,"nd",NA,"nd",NA,"nd",30,30,2687,2687,"Kenya","na","number of people","h size (number of people)"
"270",2,"Maize","crop rotation","rotation of annual crops","n fixing",NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Household size","h size","number of people","continuous","none","Multivariate probit model","probit","coefficient value",-0.004,-0.004,"robust standard error","1.0999999999999999E-2",0.011,"nd",NA,"nd",NA,"nd",30,30,2687,2687,"Kenya","na","number of people","h size (number of people)"
"290",1,"Potato, wheat","agroforestry","alley cropping","exotic trees species",NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Family size","h size","number of people","continuous","none","Probit double-hurdle model","probit","coefficient value",-0.219,-0.219,"robust standard error","6.4000000000000001E-2",0.064,"nd",NA,"0.01",0.01,"nd",24,24,313,313,"Ethiopia",NA,"number of people","h size (number of people)"
"290",2,"Potato, wheat","agroforestry","alley cropping","exotic trees species",NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Family size","h size","number of people","continuous","none","Truncated double-hurdle model","truncated","coefficient value",-0.06,-0.06,"robust standard error","2.7E-2",0.027,"nd",NA,"nd",NA,"nd",24,24,313,313,"Ethiopia",NA,"number of people","h size (number of people)"
"337",1,"Maize","crop rotation","rotation of annual crops","undefined",NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Household size","h size","number of people","continuous","none","logit regressions","logit","coefficient value",-0.012,-0.012,"standard error","1.4999999999999999E-2",0.015,"nd",NA,"nd",NA,"nd",13,13,3155,3155,"Ethiopia, Ghana, Kenya, Malawi,  Mozambique, Nigeria, Tanzania, Uganda,  Zambia",NA,"number of people","h size (number of people)"
"348",1,"nd","land with temporary fallow","natural fallow",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Household size","h size","number of people","continuous","none","linear probability model (LPM)","other","coefficient value",0,0,"standard error","0",0,"nd",NA,"nd",NA,"nd",8,8,3843,3843,"Nepal","na","number of people","h size (number of people)"
"348",2,"nd","land with temporary fallow","natural fallow",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Household size","h size","number of people","continuous","none","logit marginal model","logit","coefficient value",0.001,0.001,"standard error","1E-3",0.001,"nd",NA,"nd",NA,"nd",8,8,3783,3783,"Nepal","na","number of people","h size (number of people)"
"348",3,"nd","land with temporary fallow","natural fallow",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Household size","h size","number of people","continuous","none","linear probability model (LPM)","other","coefficient value",-0.001,-0.001,"standard error","0",0,"nd",NA,"nd",NA,"nd",19,19,3843,3843,"Nepal","na","number of people","h size (number of people)"
"348",4,"nd","land with temporary fallow","natural fallow",NA,NA,"h size","social","socio-demographic","diversity adoption (1=yes, 0=no)","partial correlation","Household size","h size","number of people","continuous","none","logit marginal model","logit","marginal effect",-0.001,-0.001,"standard error","0",0,"nd",NA,NA,NA,"nd",19,19,3783,3783,"Nepal","na","number of people","h size (number of people)"
