"id","model_id","main_crop","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","factor","factor_class","factor_sub_class","factor_context","y_metric_recla","effect_size_type","x_metric_raw","x_metric_recla","x_metric_unit","x_data_type","x_transformation","model_analysis_raw","model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","country","limitation","x_metric_unit_recla","factor_metric_unit"
"21",1,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"hh age","social","socio-demographic","farmer","diversity adoption (1=yes, 0=no)","partial correlation","Age of household head","hh age","years","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",0.00303,0.00303,"robust standard error","2E-3",0.002,"nd",NA,"0.1",0.1,"nd",31,31,7934,7934,"Zambia",NA,"years","hh age (years)"
"21",2,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"hh age","social","socio-demographic","farmer","intensity (area under diversified farming system)","partial correlation","Age of household head","hh age","years","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",0.00111,0.00111,"robust standard error","3.0000000000000001E-3",0.003,"nd",NA,"nd",NA,"nd",31,31,7934,7934,"Zambia",NA,"years","hh age (years)"
"21",3,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"hh age","social","socio-demographic","farmer","intensity (percentage of area under diversified farming system)","partial correlation","Age of household head","hh age","years","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",0.000695,0.000695,"robust standard error","1E-3",0.001,"nd",NA,"nd",NA,"nd",31,31,7934,7934,"Zambia",NA,"years","hh age (years)"
"21",4,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"hh age","social","socio-demographic","farmer","diversity adoption (1=yes, 0=no)","partial correlation","Age of household head","hh age","years","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",-0.00186,-0.00186,"robust standard error","2E-3",0.002,"nd",NA,"nd",NA,"nd",31,31,14100,14100,"Zambia",NA,"years","hh age (years)"
"21",5,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"hh age","social","socio-demographic","farmer","intensity (area under diversified farming system)","partial correlation","Age of household head","hh age","years","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",-0.00387,-0.00387,"robust standard error","4.0000000000000001E-3",0.004,"nd",NA,"nd",NA,"nd",31,31,14100,14100,"Zambia",NA,"years","hh age (years)"
"21",6,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"hh age","social","socio-demographic","farmer","intensity (percentage of area under diversified farming system)","partial correlation","Age of household head","hh age","years","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",-0.00168,-0.00168,"robust standard error","1E-3",0.001,"nd",NA,"nd",NA,"nd",31,31,14100,14100,"Zambia",NA,"years","hh age (years)"
"21",7,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"hh age","social","socio-demographic","farmer","diversity adoption (1=yes, 0=no)","partial correlation","Age of household head","hh age","years","continuous","none","correlated random effects probit model","probit","coefficient value",0.00291,0.00291,"robust standard error","2E-3",0.002,"nd",NA,"nd",NA,"nd",34,34,7934,7934,"Zambia",NA,"years","hh age (years)"
"21",8,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"hh age","social","socio-demographic","farmer","intensity (area under diversified farming system)","partial correlation","Age of household head","hh age","years","continuous","none","truncated normal regression","truncated","coefficient value",-0.0105,-0.0105,"robust standard error","1.6E-2",0.016,"nd",NA,"nd",NA,"nd",34,34,2861,2861,"Zambia",NA,"years","hh age (years)"
"21",9,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"hh age","social","socio-demographic","farmer","intensity (percentage of area under diversified farming system)","partial correlation","Age of household head","hh age","years","continuous","none","fractional response probit","probit","coefficient value",0.000589,0.000589,"robust standard error","1E-3",0.001,"nd",NA,"nd",NA,"nd",34,34,7934,7934,"Zambia",NA,"years","hh age (years)"
"21",10,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"hh age","social","socio-demographic","farmer","diversity adoption (1=yes, 0=no)","partial correlation","Age of household head","hh age","years","continuous","none","correlated random effects probit model","probit","coefficient value",-0.00184,-0.00184,"robust standard error","2E-3",0.002,"nd",NA,"nd",NA,"nd",30,30,14100,14100,"Zambia",NA,"years","hh age (years)"
"21",11,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"hh age","social","socio-demographic","farmer","intensity (area under diversified farming system)","partial correlation","Age of household head","hh age","years","continuous","none","truncated normal regression","truncated","coefficient value",-0.0262,-0.0262,"robust standard error","2.5999999999999999E-2",0.026,"nd",NA,"nd",NA,"nd",30,30,4858,4858,"Zambia",NA,"years","hh age (years)"
"21",12,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"hh age","social","socio-demographic","farmer","intensity (percentage of area under diversified farming system)","partial correlation","Age of household head","hh age","years","continuous","none","fractional response probit","probit","coefficient value",-0.00175,-0.00175,"robust standard error","1E-3",0.001,"nd",NA,"0.1",0.1,"nd",30,30,14100,14100,"Zambia",NA,"years","hh age (years)"
"35",1,"Cereals","agroforestry","woodlot","exotic tree species",NA,"hh age","social","socio-demographic","farmer","diversity adoption (1=yes, 0=no)","partial correlation","Age of household head","hh age","years","continuous","none","Multinomial Logit (MNL) model","logit","coefficient value",-0.048,-0.048,"p value","0.315",0.315,"nd",NA,"0.315",0.315,"nd",16,16,210,210,"Nepal","Eucalyptus camaldulensis, Gmelia arborea, Tectona grandis, Melia azedarach and Anthocephalus chinensis","years","hh age (years)"
"35",2,"Cereals","agroforestry","alley cropping","exotic tree species","mixied","hh age","social","socio-demographic","farmer","diversity adoption (1=yes, 0=no)","partial correlation","Age of household head","hh age","years","continuous","none","Multinomial Logit (MNL) model","logit","coefficient value",-0.008,-0.008,"p value","0.753",0.753,"nd",NA,"0.753",0.753,"nd",16,16,222,222,"Nepal",NA,"years","hh age (years)"
"44",1,"nd","agroforestry","alley cropping","unespecified","n fixing","hh age","social","socio-demographic","farmer","diversity adoption (1=yes, 0=no)","partial correlation","AGE (age of farmer)","hh age","years","continuous","none","Logit model","logit","coefficient value",-0.0010194,-0.0010194,"standard error","2.017E-2",0.02017,"-5.0999999999999997E-2",-0.051,"nd",NA,"nd",14,14,156,156,"Cameroon","nd","years","hh age (years)"
"45",2,"nd","agroforestry and fallow","alley cropping with fallow periods","unespecified","n fixing","hh age","social","socio-demographic","farmer","diversity adoption (1=yes, 0=no)","partial correlation","AGE","hh age","years","continuous","none","Logit model by a maximum likelihood method","logit","coefficient value",0.0916,0.0916,"standard error","4.65E-2",0.0465,"nd",NA,"4.8800000000000003E-2",0.0488,"nd",12,12,223,223,"Nigeria","nd","years","hh age (years)"
"49",1,"Cocoa","agroforestry","parklands","scattered trees",NA,"hh age","social","socio-demographic","farmer","diversity adoption (1=yes, 0=no)","partial correlation","Age of farmer","hh age","years","continuous","none","binomial logistic regression","logit","coefficient value",0.472,0.472,"standard error","0.27100000000000002",0.271,"nd",NA,"0.1",0.1,"nd",15,15,80,80,"Ghana",NA,"years","hh age (years)"
"49",1,"Cocoa","agroforestry","parklands","scattered trees",NA,"hh age","social","socio-demographic","farmer","diversity adoption (1=yes, 0=no)","partial correlation","Age of farmer squared","hh age","sqrt(years)","continuous","none","binomial logistic regression","logit","coefficient value",-0.006,-0.006,"standard error","3.0000000000000001E-3",0.003,"nd",NA,"0.1",0.1,"nd",15,15,80,80,"Ghana","already included the same factor without sqrt","sqrt(years)","hh age (sqrt(years))"
"49",2,"Cocoa","agroforestry","parklands","scattered trees",NA,"hh age","social","socio-demographic","farmer","diversity adoption (1=yes, 0=no)","partial correlation","Age of farmer","hh age","years","continuous","none","probit estimation","probit","coefficient value",0.26,0.26,"standard error","0.157",0.157,"nd",NA,"0.1",0.1,"nd",15,15,80,80,"Ghana",NA,"years","hh age (years)"
"49",2,"Cocoa","agroforestry","parklands","scattered trees",NA,"hh age","social","socio-demographic","farmer","diversity adoption (1=yes, 0=no)","partial correlation","Age of farmer squared","hh age","sqrt(years)","continuous","none","probit estimation","probit","coefficient value",-0.003,-0.003,"standard error","2E-3",0.002,"nd",NA,"0.1",0.1,"nd",15,15,80,80,"Ghana","already included the same factor without sqrt","sqrt(years)","hh age (sqrt(years))"
