"id","model_id","main_crop","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","y_metric_recla","effect_size_type","x_metric_raw","x_metric_recla","x_metric_unit","model_analysis_raw","model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","country","x_metric_unit_recla","factor","factor_metric_unit"
"35",1,"Cereals","agroforestry","woodlot","exotic tree species",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Membership: Member of farmers’ group and organization","hh association member","1= yes, 0= no","Multinomial Logit (MNL) model","logit","coefficient value","0.217",0.217,"p value","3.7999999999999999E-2",0.038,"nd",NA,"3.7999999999999999E-2",0.038,"nd","16",16,210,210,"Nepal","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"35",2,"Cereals","agroforestry","alley cropping","exotic tree species","mixied","diversity adoption (1=yes, 0=no)","partial correlation","Membership: Member of farmers’ group and organization","hh association member","1= yes, 0= no","Multinomial Logit (MNL) model","logit","coefficient value","0.115",0.115,"p value","1.9E-2",0.019,"nd",NA,"1.9E-2",0.019,"nd","16",16,222,222,"Nepal","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"44",1,"nd","agroforestry","alley cropping","unespecified","n fixing","diversity adoption (1=yes, 0=no)","partial correlation","FAS (membership of farmers' associations)","hh association member","1= yes, 0= no","Logit model","logit","coefficient value","2.4813000000000001",2.4813,"standard error","0.6472",0.6472,"3.8340000000000001",3.834,"0.05",0.05,"nd","14",14,156,156,"Cameroon","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"45",1,"nd","agroforestry","alley cropping","unespecified","n fixing","diversity adoption (1=yes, 0=no)","partial correlation","FAS (membership of farmers associations)","hh association member","1= yes, 0= no","Logit model by a maximum likelihood method","logit","coefficient value","0.38169999999999998",0.3817,"standard error","0.64659999999999995",0.6466,"nd",NA,"0.55489999999999995",0.5549,"nd","20",20,223,223,"Nigeria","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"45",2,"nd","agroforestry and fallow","alley cropping with fallow periods","unespecified","n fixing","diversity adoption (1=yes, 0=no)","partial correlation","FAS (membership of farmers associations)","hh association member","1= yes, 0= no","Logit model by a maximum likelihood method","logit","coefficient value","-1.0364",-1.0364,"standard error","1.7605999999999999",1.7606,"nd",NA,"0.55610000000000004",0.5561,"nd","12",12,223,223,"Nigeria","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"89",1,"nd","agroforestry","alley cropping","unespecified","unespecified","diversity adoption (1=yes, 0=no)","partial correlation","Farmers' assocn. mem. (FAM)","hh association member","1= yes, 0= no","Logistic regression model","logit","coefficient value","2.5099999999999998",2.51,"standard error","0.56799999999999995",0.568,"3.6520000000000001",3.652,"0.05",0.05,"nd","14",14,160,160,"Sierra Leone","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"93",1,"Maize","intercropping","annual crops",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Member of agricultural groups/projects","hh association member","1= yes, 0= no","Logistic regression model","logit","coefficient value","-0.36",-0.36,"standard error","0.37",0.37,"nd",NA,"nd",NA,"nd","9",9,320,320,"Kenya","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"104",1,"nd","agroforestry","unspecified",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Cooperative society","hh association member","1= yes, 0= no","Multinomial logit (MNL) model","logit","coefficient value","1.22",1.22,"standard error","0.28199999999999997",0.282,"nd",NA,"0.1",0.1,"nd","11",11,120,120,"Nigeria","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"104",2,"nd","crop rotation","cover crops","maintain soil moisture",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Cooperative society","hh association member","1= yes, 0= no","Multinomial logit (MNL) model","logit","coefficient value","-1.8520000000000001",-1.852,"standard error","1",1,"nd",NA,"0.1",0.1,"nd","11",11,120,120,"Nigeria","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"114",1,"Soybean","integrated crop-livestock",NA,NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","participation in networks","hh association member","No membership (a), member of professional associations or unions (b), both (c)","logistic regression","logit","marginal effect","0.112",0.112,"standard error","6.2E-2",0.062,"nd",NA,"nd",NA,"14","14",14,145,145,"Brazil","No membership (a), member of professional associations or unions (b), both (c)","hh association member","hh association member (No membership (a), member of professional associations or unions (b), both (c))"
"141",11,"nd","agroforestry","homegarden",NA,NA,"abundance","partial correlation","household involved in community based organization","hh association member","1= yes, 0= no","OLS regression model","OLS","coefficient value","6.7619999999999996",6.762,"standard error","10.118",10.118,"0.67",0.67,"0.505",0.505,"na","10",10,267,267,"Nepal","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"190",1,"nd","crop rotation","rotation of annual crops","undefined",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Farmer group (=1 if yes)","hh association member","1= yes, 0= no","random-effects probit model with Mundlak approach;","probit","coefficient value","1.4E-2",0.014,"standard error","8.0000000000000002E-3",0.008,"nd",NA,"0.1",0.1,"nd","24",24,28593,28593,"Vietnam","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"190",2,"nd","intercropping","unespecified",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Farmer group (=1 if yes)","hh association member","1= yes, 0= no","random-effects probit model with Mundlak approach;","probit","coefficient value","2E-3",0.002,"standard error","3.0000000000000001E-3",0.003,"nd",NA,"nd",NA,"nd","24",24,29323,29323,"Vietnam","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"190",3,"nd","land with temporary fallow","natural fallow",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Farmer group (=1 if yes)","hh association member","1= yes, 0= no","random-effects probit model with Mundlak approach;","probit","coefficient value","-7.0000000000000001E-3",-0.007,"standard error","6.0000000000000001E-3",0.006,"nd",NA,"nd",NA,"nd","23",23,27233,27233,"Vietnam","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"236",1,"Maize, rice","grazing cut and carry","agroforestry",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Cash-crop cooperative membership","hh association member","1= yes, 0= no","Logistic regression","logit","coefficient value","-1.7230000000000001",-1.723,"p value","1.0999999999999999E-2",0.011,"nd",NA,"1.0999999999999999E-2",0.011,"nd","12",12,150,150,"Indonesia","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"270",1,"Maize","intercropping","annual crops","n fixing",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Household group membership","hh association member","1= yes, 0= no","Multivariate probit model","probit","coefficient value","0.153",0.153,"robust standard error","6.6000000000000003E-2",0.066,"nd",NA,"0.05",0.05,"nd","30",30,2687,2687,"Kenya","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
