"id","model_id","main_crop","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","factor","factor_class","factor_sub_class","y_metric_recla","effect_size_type","x_metric_raw","x_metric_recla","x_metric_unit","x_data_type","x_transformation","model_analysis_raw","model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","country","limitation","x_metric_unit_recla","factor_metric_unit"
"45",1,"nd","agroforestry","alley cropping","unespecified","n fixing","hh farming experience","technical","information","diversity adoption (1=yes, 0=no)","partial correlation","AFEXP (number of years of experience in alley farming)","hh farming experience","years","continuous","none","Logit model by a maximum likelihood method","logit","coefficient value",0.442,0.442,"standard error","0.19789999999999999",0.1979,"nd",NA,"2.5499999999999998E-2",0.0255,"nd",20,20,223,223,"Nigeria","nd","years","hh farming experience (years)"
"234",1,"Corn, soybean","crop rotation","rotation of annual crops","undefined",NA,"hh farming experience","technical","information","diversity adoption (1=yes, 0=no)","partial correlation","Experience: Number of years as a primary decision maker for the operation","hh farming experience","years","continuous","none","probit regression model","probit","coefficient value",0.002,0.002,"standard error","5.0000000000000001E-3",0.005,"nd",NA,"nd",NA,"nd",20,20,422,422,"USA","na","years","hh farming experience (years)"
"236",1,"Maize, rice","grazing cut and carry","agroforestry",NA,NA,"hh farming experience","technical","information","diversity adoption (1=yes, 0=no)","partial correlation","Farming experience","hh farming experience","years","continuous","none","Logistic regression","logit","coefficient value",1.329,1.329,"p value","6.5000000000000002E-2",0.065,"nd",NA,"6.5000000000000002E-2",0.065,"nd",12,12,150,150,"Indonesia","teak, acacia, mahogany","years","hh farming experience (years)"
"286",1,"Vegetables","crop rotation","rotation of annual crops","undefined",NA,"hh farming experience","technical","information","diversity adoption (1=yes, 0=no)","partial correlation","Farming experience","hh farming experience","years","continuous","none","logistic regression","logit","coefficient value",0.225,0.225,"p value","nd",NA,"nd",NA,"nd",NA,"nd",11,11,112,112,"Indonesia","nd","years","hh farming experience (years)"
"286",2,"Vegetables","crop rotation","rotation of annual crops","undefined",NA,"hh farming experience","technical","information","diversity adoption (1=yes, 0=no)","partial correlation","Farming experience","hh farming experience","years","continuous","none","logistic regression","logit","coefficient value",0.126,0.126,"p value","0.05",0.05,"nd",NA,"0.05",0.05,"nd",11,11,112,112,"Indonesia","nd","years","hh farming experience (years)"
"290",1,"Potato, wheat","agroforestry","alley cropping","exotic trees species",NA,"hh farming experience","technical","information","diversity adoption (1=yes, 0=no)","partial correlation","Experience","hh farming experience","years","continuous","none","Probit double-hurdle model","probit","coefficient value",0.037,0.037,"robust standard error","0.02",0.02,"nd",NA,"0.1",0.1,"nd",24,24,313,313,"Ethiopia",NA,"years","hh farming experience (years)"
"290",2,"Potato, wheat","agroforestry","alley cropping","exotic trees species",NA,"hh farming experience","technical","information","diversity adoption (1=yes, 0=no)","partial correlation","Experience","hh farming experience","years","continuous","none","Truncated double-hurdle model","truncated","coefficient value",-0.02,-0.02,"robust standard error","1.2E-2",0.012,"nd",NA,"0.05",0.05,"nd",24,24,313,313,"Ethiopia",NA,"years","hh farming experience (years)"
"406",1,"nd","crop rotation and intercropping","unespecified",NA,NA,"hh farming experience","technical","information","diversity adoption (1=yes, 0=no)","partial correlation","Experience","hh farming experience","1= <15 years of farming experience, 0= otherwise","categorical (binary)","none","multinomial logistic regression (MLR)","logit","coefficient value",3.296,3.296,"p value","1.6E-2",0.016,"nd",NA,"1.6E-2",0.016,"nd",12,12,212,212,"Myanmar","na","1= <15 years of farming experience, 0= otherwise","hh farming experience (1= <15 years of farming experience, 0= otherwise)"
"430",1,"nd","integrated crop-livestock",NA,NA,NA,"hh farming experience","technical","information","diversity adoption (1=yes, 0=no)","partial correlation","Farming experience","hh farming experience","years","continuous","none","multinomial logit analysis","logit","coefficient value",0.314,0.314,"p value","6.0000000000000001E-3",0.006,"nd",NA,"6.0000000000000001E-3",0.006,"nd",6,6,120,120,"Benin","na","years","hh farming experience (years)"
"430",2,"nd","agroforestry","unespecified",NA,NA,"hh farming experience","technical","information","diversity adoption (1=yes, 0=no)","partial correlation","Farming experience","hh farming experience","years","continuous","none","multinomial logit analysis","logit","coefficient value",0.384,0.384,"p value","1E-3",0.001,"nd",NA,"1E-3",0.001,"nd",6,6,120,120,"Benin","na","years","hh farming experience (years)"
