"id","model_id","main_crop","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","factor","factor_class","factor_sub_class","factor_context","y_metric_recla","effect_size_type","x_metric_raw","x_metric_recla","x_metric_unit","x_data_type","x_transformation","model_analysis_raw","model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","country","limitation","x_metric_unit_recla","factor_metric_unit"
"35",1,"Cereals","agroforestry","woodlot","exotic tree species",NA,"hh is native","social","socio-demographic","farmer","diversity adoption (1=yes, 0=no)","partial correlation","Origin: Farmer is native","hh is native","1= yes, 0= no","categorical (binary)","none","Multinomial Logit (MNL) model","logit","coefficient value",1.215,1.215,"p value","0.188",0.188,"nd",NA,"0.188",0.188,"nd",16,16,210,210,"Nepal","Eucalyptus camaldulensis, Gmelia arborea, Tectona grandis, Melia azedarach and Anthocephalus chinensis","1= native, 0= otherwise","hh is native (1= native, 0= otherwise)"
"35",2,"Cereals","agroforestry","alley cropping","exotic tree species","mixied","hh is native","social","socio-demographic","farmer","diversity adoption (1=yes, 0=no)","partial correlation","Origin: Farmer is native","hh is native","1= yes, 0= no","categorical (binary)","none","Multinomial Logit (MNL) model","logit","coefficient value",-0.336,-0.336,"p value","0.55100000000000005",0.551,"nd",NA,"0.55100000000000005",0.551,"nd",16,16,222,222,"Nepal",NA,"1= native, 0= otherwise","hh is native (1= native, 0= otherwise)"
"44",1,"nd","agroforestry","alley cropping","unespecified","n fixing","hh is native","social","socio-demographic","farmer","diversity adoption (1=yes, 0=no)","partial correlation","FORIGIN (dummy for farmers' origin)","hh is native","1= yes, 0= no","categorical (binary)","none","Logit model","logit","coefficient value",-0.47543,-0.47543,"standard error","0.63839999999999997",0.6384,"-0.745",-0.745,"nd",NA,"nd",14,14,156,156,"Cameroon","nd","1= native, 0= otherwise","hh is native (1= native, 0= otherwise)"
"45",1,"nd","agroforestry","alley cropping","unespecified","n fixing","hh is native","social","socio-demographic","farmer","diversity adoption (1=yes, 0=no)","partial correlation","FORIGIN (if farmer is native of the village)","hh is native","1= yes, 0= no","categorical (binary)","none","Logit model by a maximum likelihood method","logit","coefficient value",-3.753,-3.753,"standard error","1.5202",1.5202,"nd",NA,"1.3599999999999999E-2",0.0136,"nd",20,20,223,223,"Nigeria","nd","1= native, 0= otherwise","hh is native (1= native, 0= otherwise)"
"45",2,"nd","agroforestry and fallow","alley cropping with fallow periods","unespecified","n fixing","hh is native","social","socio-demographic","farmer","diversity adoption (1=yes, 0=no)","partial correlation","FORIGIN (if farmer is native of the village)","hh is native","1= yes, 0= no","categorical (binary)","none","Logit model by a maximum likelihood method","logit","coefficient value",2.3974,2.3974,"standard error","2.5089000000000001",2.5089,"nd",NA,"0.33989999999999998",0.3399,"nd",12,12,223,223,"Nigeria","nd","1= native, 0= otherwise","hh is native (1= native, 0= otherwise)"
"49",1,"Cocoa","agroforestry","parklands","scattered trees",NA,"hh is native","social","socio-demographic","farmer","diversity adoption (1=yes, 0=no)","partial correlation","Farmer residential status","hh is native","1= native, 0= settler","categorical (binary)","none","binomial logistic regression","logit","coefficient value",1.659,1.659,"standard error","0.82599999999999996",0.826,"nd",NA,"0.05",0.05,"nd",15,15,80,80,"Ghana","nd","1= native, 0= otherwise","hh is native (1= native, 0= otherwise)"
"49",2,"Cocoa","agroforestry","parklands","scattered trees",NA,"hh is native","social","socio-demographic","farmer","diversity adoption (1=yes, 0=no)","partial correlation","Farmer residential status","hh is native","1= native, 0= settler","categorical (binary)","none","probit estimation","probit","coefficient value",0.895,0.895,"standard error","0.44400000000000001",0.444,"nd",NA,"0.05",0.05,"nd",15,15,80,80,"Ghana","nd","1= native, 0= otherwise","hh is native (1= native, 0= otherwise)"
"89",1,"nd","agroforestry","alley cropping","unespecified","unespecified","hh is native","social","socio-demographic","farmer","diversity adoption (1=yes, 0=no)","partial correlation","Residential status (RES)","hh is native","1= yes, 0= no","categorical (binary)","none","Logistic regression model","logit","coefficient value",-0.58,-0.58,"standard error","0.432",0.432,"-0.64100000000000001",-0.641,"nd",NA,"nd",14,14,160,160,"Sierra Leone","nd","1= native, 0= otherwise","hh is native (1= native, 0= otherwise)"
"114",1,"Soybean","integrated crop-livestock",NA,NA,NA,"hh is native","social","socio-demographic","farmer","diversity adoption (1=yes, 0=no)","partial correlation","region of origin - South","hh is native","1= hh from Southern Brazil, 0= otherwise","categorical (binary)","none","logistic regression","logit","marginal effect",-0.25,-0.25,"standard error","7.6999999999999999E-2",0.077,"nd",NA,"0.01",0.01,"14",14,14,145,145,"Brazil","na","1= hh from Southern Brazil, 0= otherwise","hh is native (1= hh from Southern Brazil, 0= otherwise)"
"290",1,"Potato, wheat","agroforestry","alley cropping","exotic trees species",NA,"hh is native","social","socio-demographic","farmer","diversity adoption (1=yes, 0=no)","partial correlation","Nativity","hh is native","1= yes, 0= no","categorical (binary)","none","Probit double-hurdle model","probit","coefficient value",1.345,1.345,"robust standard error","0.35199999999999998",0.352,"nd",NA,"nd",NA,"nd",24,24,313,313,"Ethiopia",NA,"1= native, 0= otherwise","hh is native (1= native, 0= otherwise)"
"290",2,"Potato, wheat","agroforestry","alley cropping","exotic trees species",NA,"hh is native","social","socio-demographic","farmer","diversity adoption (1=yes, 0=no)","partial correlation","Nativity","hh is native","1= yes, 0= no","categorical (binary)","none","Truncated double-hurdle model","truncated","coefficient value",0.401,0.401,"robust standard error","0.247",0.247,"nd",NA,"0.01",0.01,"nd",24,24,313,313,"Ethiopia",NA,"1= native, 0= otherwise","hh is native (1= native, 0= otherwise)"
"701",1,"nd","agroforestry","alley cropping","n fixing",NA,"hh is native","social","socio-demographic","farmer","diversity adoption (1=yes, 0=no)","partial correlation","FORIGIN whether farmer is a native of the village or not","hh is native","1= yes, 0= no","categorical (binary)","none","logit regression","logit","coefficient value",0.0648,0.0648,"t value","0.24299999999999999",0.243,"0.24299999999999999",0.243,"nd",NA,"nd",14,14,676,676,"Cameroon",NA,"1= native, 0= otherwise","hh is native (1= native, 0= otherwise)"
"701",2,"nd","land with temporary fallow","improved fallow","tree planting",NA,"hh is native","social","socio-demographic","farmer","diversity adoption (1=yes, 0=no)","partial correlation","FORIGIN whether farmer is a native of the village or not","hh is native","1= yes, 0= no","categorical (binary)","none","logit regression","logit","coefficient value",0.12273,0.12273,"t value","0.41899999999999998",0.419,"0.41899999999999998",0.419,"nd",NA,"nd",14,14,675,675,"Cameroon",NA,"1= native, 0= otherwise","hh is native (1= native, 0= otherwise)"
"701",3,"nd","agroforestry","boundary planting","living fences or hedgerows",NA,"hh is native","social","socio-demographic","farmer","diversity adoption (1=yes, 0=no)","partial correlation","FORIGIN whether farmer is a native of the village or not","hh is native","1= yes, 0= no","categorical (binary)","none","logit regression","logit","coefficient value",-0.13255,-0.13255,"t value","-0.47499999999999998",-0.475,"-0.47499999999999998",-0.475,"nd",NA,"nd",14,14,676,676,"Cameroon",NA,"1= native, 0= otherwise","hh is native (1= native, 0= otherwise)"
