"id","model_id","main_crop","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","factor","factor_class","factor_sub_class","y_metric_recla","effect_size_type","x_metric_raw","x_metric_recla","x_metric_unit","x_data_type","x_transformation","model_analysis_raw","model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","country","limitation","x_metric_unit_recla","factor_metric_unit"
"21",2,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"secured land tenure","socio-economic","physical capital","intensity (area under diversified farming system)","partial correlation","% of total landholding that is owned","land tenure security","percentage of total landholding that is owned","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",0.00209,0.00209,"robust standard error","1E-3",0.001,"nd",NA,"0.05",0.05,"nd",31,31,7934,7934,"Zambia",NA,"percentage to secure land","secured land tenure (percentage to secure land)"
"21",3,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"secured land tenure","socio-economic","physical capital","intensity (percentage of area under diversified farming system)","partial correlation","% of total landholding that is owned","land tenure security","percentage of total landholding that is owned","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",0.000547,0.000547,"robust standard error","0",0,"nd",NA,"0.05",0.05,"nd",31,31,7934,7934,"Zambia",NA,"percentage to secure land","secured land tenure (percentage to secure land)"
"21",4,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"secured land tenure","socio-economic","physical capital","diversity adoption (1=yes, 0=no)","partial correlation","% of total landholding that is owned","land tenure security","percentage of total landholding that is owned","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",0.00331,0.00331,"robust standard error","1.6E-2",0.016,"nd",NA,"nd",NA,"nd",31,31,14100,14100,"Zambia",NA,"percentage to secure land","secured land tenure (percentage to secure land)"
"21",5,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"secured land tenure","socio-economic","physical capital","intensity (area under diversified farming system)","partial correlation","% of total landholding that is owned","land tenure security","percentage of total landholding that is owned","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",-0.0403,-0.0403,"robust standard error","2.8000000000000001E-2",0.028,"nd",NA,"nd",NA,"nd",31,31,14100,14100,"Zambia",NA,"percentage to secure land","secured land tenure (percentage to secure land)"
"21",6,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"secured land tenure","socio-economic","physical capital","intensity (percentage of area under diversified farming system)","partial correlation","% of total landholding that is owned","land tenure security","percentage of total landholding that is owned","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",-0.0114,-0.0114,"robust standard error","8.0000000000000002E-3",0.008,"nd",NA,"nd",NA,"nd",31,31,14100,14100,"Zambia",NA,"percentage to secure land","secured land tenure (percentage to secure land)"
"21",7,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"secured land tenure","socio-economic","physical capital","diversity adoption (1=yes, 0=no)","partial correlation","% of total landholding that is owned","land tenure security","percentage of total landholding that is owned","continuous","none","correlated random effects probit model","probit","coefficient value",0.00127,0.00127,"robust standard error","0",0,"nd",NA,"0.01",0.01,"nd",34,34,7934,7934,"Zambia",NA,"percentage to secure land","secured land tenure (percentage to secure land)"
"21",8,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"secured land tenure","socio-economic","physical capital","intensity (area under diversified farming system)","partial correlation","% of total landholding that is owned","land tenure security","percentage of total landholding that is owned","continuous","none","truncated normal regression","truncated","coefficient value",-0.00101,-0.00101,"robust standard error","6.0000000000000001E-3",0.006,"nd",NA,"nd",NA,"nd",34,34,2861,2861,"Zambia",NA,"percentage to secure land","secured land tenure (percentage to secure land)"
"21",9,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"secured land tenure","socio-economic","physical capital","intensity (percentage of area under diversified farming system)","partial correlation","% of total landholding that is owned","land tenure security","percentage of total landholding that is owned","continuous","none","fractional response probit","probit","coefficient value",0.000651,0.000651,"robust standard error","0",0,"nd",NA,"0.05",0.05,"nd",34,34,7934,7934,"Zambia",NA,"percentage to secure land","secured land tenure (percentage to secure land)"
"21",10,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"secured land tenure","socio-economic","physical capital","diversity adoption (1=yes, 0=no)","partial correlation","share of total landholding that is owned","land tenure security","percentage of total landholding that is owned","continuous","none","correlated random effects probit model","probit","coefficient value",0.44,0.44,"robust standard error","4.4999999999999998E-2",0.045,"nd",NA,"0.01",0.01,"nd",30,30,14100,14100,"Zambia",NA,"percentage to secure land","secured land tenure (percentage to secure land)"
"21",11,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"secured land tenure","socio-economic","physical capital","intensity (area under diversified farming system)","partial correlation","share of total landholding that is owned","land tenure security","percentage of total landholding that is owned","continuous","none","truncated normal regression","truncated","coefficient value",2.69,2.69,"robust standard error","1.2230000000000001",1.223,"nd",NA,"0.05",0.05,"nd",30,30,4858,4858,"Zambia",NA,"percentage to secure land","secured land tenure (percentage to secure land)"
