"id","model_id","main_crop","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","intervention_recla_detail_4","factor","factor_class","factor_sub_class","factor_context","y_metric_recla","effect_size_type","x_metric_raw","x_metric_recla","x_metric_unit","x_data_type","x_transformation","model_analysis_raw","model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","country","limitation","x_metric_unit_recla","factor_metric_unit"
"21",1,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,NA,"livestock owned","socio-economic","physical capital","farm","diversity adoption (1=yes, 0=no)","partial correlation","# of cattle","units of livestock","number of cattle","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",-0.000922,-0.000922,"robust standard error","1E-3",0.001,"nd",NA,"nd",NA,"nd",31,31,7934,7934,"Zambia",NA,"Units of animal owned","livestock owned (Units of animal owned)"
"21",1,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,NA,"livestock owned","socio-economic","physical capital","farm","diversity adoption (1=yes, 0=no)","partial correlation","TLU w/o cattle","units of livestock","TLU","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",-0.0131,-0.0131,"robust standard error","0.01",0.01,"nd",NA,"nd",NA,"nd",31,31,7934,7934,"Zambia",NA,"TLU","livestock owned (TLU)"
"21",2,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,NA,"livestock owned","socio-economic","physical capital","farm","intensity (area under diversified farming system)","partial correlation","# of cattle","units of livestock","number of cattle","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",-0.00352,-0.00352,"robust standard error","3.0000000000000001E-3",0.003,"nd",NA,"nd",NA,"nd",31,31,7934,7934,"Zambia",NA,"Units of animal owned","livestock owned (Units of animal owned)"
"21",2,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,NA,"livestock owned","socio-economic","physical capital","farm","intensity (area under diversified farming system)","partial correlation","TLU w/o cattle","units of livestock","TLU","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",-0.0468,-0.0468,"robust standard error","0.05",0.05,"nd",NA,"nd",NA,"nd",31,31,7934,7934,"Zambia",NA,"TLU","livestock owned (TLU)"
"21",3,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,NA,"livestock owned","socio-economic","physical capital","farm","intensity (percentage of area under diversified farming system)","partial correlation","# of cattle","units of livestock","number of cattle","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",-0.000322,-0.000322,"robust standard error","1E-3",0.001,"nd",NA,"nd",NA,"nd",31,31,7934,7934,"Zambia",NA,"Units of animal owned","livestock owned (Units of animal owned)"
"21",3,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,NA,"livestock owned","socio-economic","physical capital","farm","intensity (percentage of area under diversified farming system)","partial correlation","TLU w/o cattle","units of livestock","TLU","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",-0.00647,-0.00647,"robust standard error","5.0000000000000001E-3",0.005,"nd",NA,"nd",NA,"nd",31,31,7934,7934,"Zambia",NA,"TLU","livestock owned (TLU)"
"21",4,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,NA,"livestock owned","socio-economic","physical capital","farm","diversity adoption (1=yes, 0=no)","partial correlation","# of cattle","units of livestock","number of cattle","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",-0.000199,-0.000199,"robust standard error","0",0,"nd",NA,"nd",NA,"nd",31,31,14100,14100,"Zambia",NA,"Units of animal owned","livestock owned (Units of animal owned)"
"21",4,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,NA,"livestock owned","socio-economic","physical capital","farm","diversity adoption (1=yes, 0=no)","partial correlation","TLU w/o cattle","units of livestock","TLU","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",0.000499,0.000499,"robust standard error","1E-3",0.001,"nd",NA,"nd",NA,"nd",31,31,14100,14100,"Zambia",NA,"TLU","livestock owned (TLU)"
"21",5,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,NA,"livestock owned","socio-economic","physical capital","farm","intensity (area under diversified farming system)","partial correlation","# of cattle","units of livestock","number of cattle","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",0.000197,0.000197,"robust standard error","1E-3",0.001,"nd",NA,"nd",NA,"nd",31,31,14100,14100,"Zambia",NA,"Units of animal owned","livestock owned (Units of animal owned)"
"21",5,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,NA,"livestock owned","socio-economic","physical capital","farm","intensity (area under diversified farming system)","partial correlation","TLU w/o cattle","units of livestock","TLU","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",-0.000248,-0.000248,"robust standard error","1E-3",0.001,"nd",NA,"nd",NA,"nd",31,31,14100,14100,"Zambia",NA,"TLU","livestock owned (TLU)"
