"id","model_id","main_crop","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","factor","factor_class","factor_sub_class","factor_context","y_metric_recla","effect_size_type","x_metric_raw","x_metric_recla","x_metric_unit","x_data_type","x_transformation","model_analysis_raw","model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","country","limitation","x_metric_unit_recla","factor_metric_unit"
"21",1,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"precipitation","biophysical","0","context, farm","diversity adoption (1=yes, 0=no)","partial correlation","Long-run average growing season rainfall (mm, 16-year MA)","precipitation","mm, 16-year MA","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",0.00143,0.00143,"robust standard error","2E-3",0.002,"nd",NA,"nd",NA,"nd",31,31,7934,7934,"Zambia",NA,"mm","precipitation (mm)"
"21",1,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"precipitation","biophysical","0","context, farm","diversity adoption (1=yes, 0=no)","partial correlation","Long-run CV of growing season rainfall (%, 16-year MA)","precipitation CV","percentage of coefficient of variation","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",0.0217,0.000217,"robust standard error","0.01",1e-04,"nd",NA,"0.05",0.05,"nd",31,31,7934,7934,"Zambia",NA,"coefficient of variation","precipitation (coefficient of variation)"
"21",2,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"precipitation","biophysical","0","context, farm","intensity (area under diversified farming system)","partial correlation","Long-run average growing season rainfall (mm, 16-year MA)","precipitation","mm, 16-year MA","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",-0.00441,-0.00441,"robust standard error","3.0000000000000001E-3",0.003,"nd",NA,"nd",NA,"nd",31,31,7934,7934,"Zambia",NA,"mm","precipitation (mm)"
"21",2,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"precipitation","biophysical","0","context, farm","intensity (area under diversified farming system)","partial correlation","Long-run CV of growing season rainfall (%, 16-year MA)","precipitation CV","percentage of coefficient of variation","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",0.0292,0.000292,"robust standard error","1.7999999999999999E-2",0.00018,"nd",NA,"nd",NA,"nd",31,31,7934,7934,"Zambia",NA,"coefficient of variation","precipitation (coefficient of variation)"
"21",3,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"precipitation","biophysical","0","context, farm","intensity (percentage of area under diversified farming system)","partial correlation","Long-run average growing season rainfall (mm, 16-year MA)","precipitation","mm, 16-year MA","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",0.000599,0.000599,"robust standard error","1E-3",0.001,"nd",NA,"nd",NA,"nd",31,31,7934,7934,"Zambia",NA,"mm","precipitation (mm)"
"21",3,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"precipitation","biophysical","0","context, farm","intensity (percentage of area under diversified farming system)","partial correlation","Long-run CV of growing season rainfall (%, 16-year MA)","precipitation CV","percentage of coefficient of variation","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",0.00274,2.74e-05,"robust standard error","5.0000000000000001E-3",5e-05,"nd",NA,"nd",NA,"nd",31,31,7934,7934,"Zambia",NA,"coefficient of variation","precipitation (coefficient of variation)"
"21",4,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"precipitation","biophysical","0","context, farm","diversity adoption (1=yes, 0=no)","partial correlation","Long-run average growing season rainfall (mm, 16-year MA)","precipitation","mm, 16-year MA","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",0.0248,0.0248,"robust standard error","1.0999999999999999E-2",0.011,"nd",NA,"0.05",0.05,"p",31,31,14100,14100,"Zambia",NA,"mm","precipitation (mm)"
"21",4,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"precipitation","biophysical","0","context, farm","diversity adoption (1=yes, 0=no)","partial correlation","Long-run CV of growing season rainfall (%, 16-year MA)","precipitation CV","percentage of coefficient of variation","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",0.17,0.0017,"robust standard error","8.5999999999999993E-2",0.00086,"nd",NA,"0.05",0.05,"p",31,31,14100,14100,"Zambia",NA,"coefficient of variation","precipitation (coefficient of variation)"
"21",5,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"precipitation","biophysical","0","context, farm","intensity (area under diversified farming system)","partial correlation","Long-run average growing season rainfall (mm, 16-year MA)","precipitation","mm, 16-year MA","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",0.022,0.022,"robust standard error","2.1999999999999999E-2",0.022,"nd",NA,"nd",NA,"nd",31,31,14100,14100,"Zambia",NA,"mm","precipitation (mm)"
"21",5,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,"precipitation","biophysical","0","context, farm","intensity (area under diversified farming system)","partial correlation","Long-run CV of growing season rainfall (%, 16-year MA)","precipitation CV","percentage of coefficient of variation","continuous","none","linear household ﬁxed effects (FE) model","fixed_effects","coefficient value",0.179,0.00179,"robust standard error","0.185",0.00185,"nd",NA,"nd",NA,"nd",31,31,14100,14100,"Zambia",NA,"coefficient of variation","precipitation (coefficient of variation)"
