"id","model_id","main_crop","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","factor","factor_class","factor_sub_class","factor_context","y_metric_recla","effect_size_type","x_metric_raw","x_metric_recla","x_metric_unit","x_data_type","x_transformation","model_analysis_raw","model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","country","limitation","x_metric_unit_recla","factor_metric_unit"
"44",1,"nd","agroforestry","alley cropping","unespecified","n fixing","soil erosion","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","VEROS (village erosion index)","soil erosion","(1=erosion is a major problem in the village; 2= minor problem, 3= not a problem)","continuous","none","Logit model","logit","coefficient value",-0.24569,-0.24569,"standard error","0.78180000000000005",0.7818,"-0.314",-0.314,"nd",NA,"nd",14,14,156,156,"Cameroon","nd","1 = major problem, 2 = minor problem, 3 = not a problem","soil erosion (1 = major problem, 2 = minor problem, 3 = not a problem)"
"45",1,"nd","agroforestry","alley cropping","unespecified","n fixing","soil erosion","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","VEROS (village erosion index)","soil erosion","1= erosion is a major problem in the village; 2= minor problem, 3= not a problem","continuous","none","Logit model by a maximum likelihood method","logit","coefficient value",-1.3645,-1.3645,"standard error","0.43219999999999997",0.4322,"nd",NA,"1.6000000000000001E-3",0.0016,"nd",20,20,223,223,"Nigeria","nd","1 = major problem, 2 = minor problem, 3 = not a problem","soil erosion (1 = major problem, 2 = minor problem, 3 = not a problem)"
"45",2,"nd","agroforestry and fallow","alley cropping with fallow periods","unespecified","n fixing","soil erosion","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","VEROS (village erosion index)","soil erosion","1= erosion is a major problem in the village; 2= minor problem, 3= not a problem","continuous","none","Logit model by a maximum likelihood method","logit","coefficient value",-1.5778,-1.5778,"standard error","0.76619999999999999",0.7662,"nd",NA,"3.95E-2",0.0395,"nd",12,12,223,223,"Nigeria","nd","1 = major problem, 2 = minor problem, 3 = not a problem","soil erosion (1 = major problem, 2 = minor problem, 3 = not a problem)"
"89",1,"nd","agroforestry","alley cropping","unespecified","unespecified","soil erosion","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Soil erosion (SOE)","soil erosion","(0 = no, 1 = minimal, 2 = moderate and 3 = high)","continuous","none","Logistic regression model","logit","coefficient value",-0.31,-0.31,"standard error","0.63100000000000001",0.631,"-0.216",-0.216,"nd",NA,"nd",14,14,160,160,"Sierra Leone","nd","0 = no, 1 = minimal, 2 = moderate and 3 = high","soil erosion (0 = no, 1 = minimal, 2 = moderate and 3 = high)"
"193",1,"nd","crop rotation","unespecified",NA,NA,"soil erosion","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Perception of wind erosion occurrence (0–5 scale)*","hh perception of soil erosion","(0–5 scale) where 0 is no effect and 5 is very high effect on crop production.","continuous","none","extended binary probit model","probit","coefficient value",0.092,0.092,"standard error","0.129",0.129,"nd",NA,"nd",NA,"nd",27,27,234,234,"Moldova","na","(0–5 scale) where 0 is no effect and 5 is very high effect on crop production.","soil erosion ((0–5 scale) where 0 is no effect and 5 is very high effect on crop production.)"
"193",3,"nd","crop rotation","unespecified",NA,NA,"soil erosion","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Perception of wind erosion occurrence (0–5 scale)*","hh perception of soil erosion","(0–5 scale) where 0 is no effect and 5 is very high effect on crop production.","continuous","none","binary probit model","probit","coefficient value",0.031,0.031,"robust standard error","0.13600000000000001",0.136,"nd",NA,"nd",NA,"nd",25,25,234,234,"Moldova","na","(0–5 scale) where 0 is no effect and 5 is very high effect on crop production.","soil erosion ((0–5 scale) where 0 is no effect and 5 is very high effect on crop production.)"
"409",1,"Corn","crop rotation","annual crops","unespecified",NA,"soil erosion","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Hectares of highly erodible land that was planted to crops in 2011","soil erosion","ha of erodible land","continuous","log10","Fixed effect model","fixed_effects","coefficient value",0.07,0.07,"standard error","0.02",0.02,"nd",NA,"0.01",0.01,"nd",11,11,2316,2316,"USA","na","ha of erodible land","soil erosion (ha of erodible land)"
"701",1,"nd","agroforestry","alley cropping","n fixing",NA,"soil erosion","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","VEROS erosion index of the village","soil erosion","1 = erosion is a major problem in the village, 2 = erosion is a minor problem, 3 = erosion is not a problem","categorical (multiple)","none","logit regression","logit","coefficient value",-0.10839,-0.10839,"t value","-0.48899999999999999",-0.489,"-0.48899999999999999",-0.489,"nd",NA,"nd",14,14,676,676,"Cameroon",NA,"1 = major problem, 2 = minor problem, 3 = not a problem","soil erosion (1 = major problem, 2 = minor problem, 3 = not a problem)"
"701",2,"nd","land with temporary fallow","improved fallow","tree planting",NA,"soil erosion","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","VEROS erosion index of the village","soil erosion","1 = erosion is a major problem in the village, 2 = erosion is a minor problem, 3 = erosion is not a problem","categorical (multiple)","none","logit regression","logit","coefficient value",0.22421,0.22421,"t value","0.99299999999999999",0.993,"0.99299999999999999",0.993,"nd",NA,"nd",14,14,675,675,"Cameroon",NA,"1 = major problem, 2 = minor problem, 3 = not a problem","soil erosion (1 = major problem, 2 = minor problem, 3 = not a problem)"
"701",3,"nd","agroforestry","boundary planting","living fences or hedgerows",NA,"soil erosion","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","VEROS erosion index of the village","soil erosion","1 = erosion is a major problem in the village, 2 = erosion is a minor problem, 3 = erosion is not a problem","categorical (multiple)","none","logit regression","logit","coefficient value",-0.22082,-0.22082,"t value","-0.99299999999999999",-0.993,"-0.99299999999999999",-0.993,"nd",NA,"nd",14,14,676,676,"Cameroon",NA,"1 = major problem, 2 = minor problem, 3 = not a problem","soil erosion (1 = major problem, 2 = minor problem, 3 = not a problem)"
