"id","model_id","main_crop","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","factor","factor_class","factor_sub_class","y_metric_recla","effect_size_type","x_metric_raw","x_metric_recla","x_metric_unit","x_data_type","x_transformation","model_analysis_raw","model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","country","limitation","x_metric_unit_recla","factor_metric_unit"
"78",2,"Mixed","agroforestry and fallow","agroforestry and fallow period","natural fallow",NA,"soil fertility","biophysical","0","diversity adoption (1=yes, 0=no)","partial correlation","perceived Fertility (ave)","hh perception of soil fertility","1= low, 2= average, 3= high","categorical (multiple)","none","Logistic model regression","logit","coefficient value",1.563,1.563,"standard error","0.38100000000000001",0.381,"nd",NA,"0",0,"nd",4,4,144,144,"Tanzania","Grevillea robusta, Allanblackia nuts","1= low, 2= average, 3= high","soil fertility (1= low, 2= average, 3= high)"
"190",1,"nd","crop rotation","rotation of annual crops","undefined",NA,"soil fertility","biophysical","0","diversity adoption (1=yes, 0=no)","partial correlation","Plot has higher quality soil than the average soil condition of the region","soil quality","1 = if Plot has higher quality soil than the average soil condition of the region; 0 = No","categorical (binary)","none","random-effects probit model with Mundlak approach;","probit","coefficient value",0.024,0.024,"standard error","1.2999999999999999E-2",0.013,"nd",NA,"0.1",0.1,"nd",24,24,28593,28593,"Vietnam",NA,"1= high fertility, 0= otherwise","soil fertility (1= high fertility, 0= otherwise)"
"190",2,"nd","intercropping","unespecified",NA,NA,"soil fertility","biophysical","0","diversity adoption (1=yes, 0=no)","partial correlation","Plot has higher quality soil than the average soil condition of the region","soil quality","1 = if Plot has higher quality soil than the average soil condition of the region; 0 = No","categorical (binary)","none","random-effects probit model with Mundlak approach;","probit","coefficient value",-0.002,-0.002,"standard error","3.0000000000000001E-3",0.003,"nd",NA,"nd",NA,"nd",24,24,29323,29323,"Vietnam",NA,"1= high fertility, 0= otherwise","soil fertility (1= high fertility, 0= otherwise)"
"190",3,"nd","land with temporary fallow","natural fallow",NA,NA,"soil fertility","biophysical","0","diversity adoption (1=yes, 0=no)","partial correlation","Plot has higher quality soil than the average soil condition of the region","soil quality","1 = if Plot has higher quality soil than the average soil condition of the region; 0 = No","categorical (binary)","none","random-effects probit model with Mundlak approach;","probit","coefficient value",-0.002,-0.002,"standard error","8.9999999999999993E-3",0.009,"nd",NA,"nd",NA,"nd",23,23,27233,27233,"Vietnam",NA,"1= high fertility, 0= otherwise","soil fertility (1= high fertility, 0= otherwise)"
"190",4,"nd","crop rotation","rotation of annual crops","undefined",NA,"soil fertility","biophysical","0","diversity adoption (1=yes, 0=no)","partial correlation","Plot has higher quality soil than the average soil condition of the region","soil quality","1 = if Plot has higher quality soil than the average soil condition of the region; 0 = No","categorical (binary)","none","fixed-effects linear probability model","Linear probability model","coefficient value",0.031,0.031,"standard error","2.1999999999999999E-2",0.022,"nd",NA,"nd",NA,"nd",23,23,28593,28593,"Vietnam",NA,"1= high fertility, 0= otherwise","soil fertility (1= high fertility, 0= otherwise)"
"190",5,"nd","intercropping","unespecified",NA,NA,"soil fertility","biophysical","0","diversity adoption (1=yes, 0=no)","partial correlation","Plot has higher quality soil than the average soil condition of the region","soil quality","1 = if Plot has higher quality soil than the average soil condition of the region; 0 = No","categorical (binary)","none","fixed-effects linear probability model","Linear probability model","coefficient value",0.003,0.003,"standard error","8.9999999999999993E-3",0.009,"nd",NA,"nd",NA,"nd",23,23,29323,29323,"Vietnam",NA,"1= high fertility, 0= otherwise","soil fertility (1= high fertility, 0= otherwise)"
"190",6,"nd","land with temporary fallow","natural fallow",NA,NA,"soil fertility","biophysical","0","diversity adoption (1=yes, 0=no)","partial correlation","Plot has higher quality soil than the average soil condition of the region","soil quality","1 = if Plot has higher quality soil than the average soil condition of the region; 0 = No","categorical (binary)","none","fixed-effects linear probability model","Linear probability model","coefficient value",0.001,0.001,"standard error","8.0000000000000002E-3",0.008,"nd",NA,"nd",NA,"nd",23,23,27233,27233,"Vietnam",NA,"1= high fertility, 0= otherwise","soil fertility (1= high fertility, 0= otherwise)"
"193",1,"nd","crop rotation","unespecified",NA,NA,"soil fertility","biophysical","0","diversity adoption (1=yes, 0=no)","partial correlation","Perception of low soil fertility occurrence (0–5 scale)*","hh perception of soil fertility","(0–5 scale) where 0 is no effect and 5 is very high effect on crop production.","continuous","none","extended binary probit model","probit","coefficient value",0.147,0.147,"standard error","7.3999999999999996E-2",0.074,"nd",NA,"0.05",0.05,"nd",27,27,234,234,"Moldova","na","(0–5 scale) where 0 is no effect and 5 is very high effect on crop production.","soil fertility ((0–5 scale) where 0 is no effect and 5 is very high effect on crop production.)"
"193",3,"nd","crop rotation","unespecified",NA,NA,"soil fertility","biophysical","0","diversity adoption (1=yes, 0=no)","partial correlation","Perception of low soil fertility occurrence (0–5 scale)*","hh perception of soil fertility","(0–5 scale) where 0 is no effect and 5 is very high effect on crop production.","continuous","none","binary probit model","probit","coefficient value",-0.303,-0.303,"robust standard error","0.106",0.106,"nd",NA,"0.01",0.01,"nd",25,25,234,234,"Moldova","na","(0–5 scale) where 0 is no effect and 5 is very high effect on crop production.","soil fertility ((0–5 scale) where 0 is no effect and 5 is very high effect on crop production.)"
"270",1,"Maize","intercropping","annual crops","n fixing",NA,"soil fertility","biophysical","0","diversity adoption (1=yes, 0=no)","partial correlation","Good fertile plot","soil fertility","1 = good, 0 = poor","categorical (binary)","none","Multivariate probit model","probit","coefficient value",-0.107,-0.107,"robust standard error","0.109",0.109,"nd",NA,"nd",NA,"nd",30,30,2687,2687,"Kenya","na","1= high fertility, 0= otherwise","soil fertility (1= high fertility, 0= otherwise)"
"270",1,"Maize","intercropping","annual crops","n fixing",NA,"soil fertility","biophysical","0","diversity adoption (1=yes, 0=no)","partial correlation","Moderately fertile plot","soil fertility","1 = moderate, 0 = poor","categorical (binary)","none","Multivariate probit model","probit","coefficient value",-0.106,-0.106,"robust standard error","9.7000000000000003E-2",0.097,"nd",NA,"nd",NA,"nd",30,30,2687,2687,"Kenya","na","1 = moderate, 0 = poor","soil fertility (1 = moderate, 0 = poor)"
