"id","model_id","main_crop","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","intervention_recla_detail_4","factor","factor_class","factor_sub_class","factor_context","y_metric_recla","effect_size_type","x_metric_raw","x_metric_recla","x_metric_unit","x_data_type","x_transformation","model_analysis_raw","model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","country","limitation","x_metric_unit_recla","factor_metric_unit"
"21",7,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Terrain steepness (degrees)","soil slope","degrees","continuous","none","correlated random effects probit model","probit","coefficient value",-0.00555,-0.00555,"robust standard error","5.0000000000000001E-3",0.005,"nd",NA,"nd",NA,"nd",34,34,7934,7934,"Zambia",NA,"degrees","soil slope (degrees)"
"21",8,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,NA,"soil slope","biophysical","0","farm","intensity (area under diversified farming system)","partial correlation","Terrain steepness (degrees)","soil slope","degrees","continuous","none","truncated normal regression","truncated","coefficient value",0.0236,0.0236,"robust standard error","3.9E-2",0.039,"nd",NA,"nd",NA,"nd",34,34,2861,2861,"Zambia",NA,"degrees","soil slope (degrees)"
"21",9,"Maize","land with temporary fallow","general fallow (natural or improved)",NA,NA,NA,"soil slope","biophysical","0","farm","intensity (percentage of area under diversified farming system)","partial correlation","Terrain steepness (degrees)","soil slope","degrees","continuous","none","fractional response probit","probit","coefficient value",-0.00424,-0.00424,"robust standard error","3.0000000000000001E-3",0.003,"nd",NA,"0.1",0.1,"nd",34,34,7934,7934,"Zambia",NA,"degrees","soil slope (degrees)"
"114",1,"Soybean","integrated crop-livestock",NA,NA,NA,NA,"soil slope","biophysical","0","farm, context","diversity adoption (1=yes, 0=no)","partial correlation","farm topography - flat","hh perception of farm slope","Ranked by interviewee along a scale of 1 to 4 with 1 indicating very flat slopes and 4 indicating very steep slopes","continuous","none","logistic regression","logit","marginal effect",0.089,0.089,"standard error","8.7999999999999995E-2",0.088,"nd",NA,"nd",NA,"14",14,14,145,145,"Brazil","na","Ranked by interviewee along a scale of 1 to 4 with 1 indicating very flat slopes and 4 indicating very steep slopes","soil slope (Ranked by interviewee along a scale of 1 to 4 with 1 indicating very flat slopes and 4 indicating very steep slopes)"
"190",1,"nd","crop rotation",NA,NA,"annual crops",NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Slight slope (= 1 if yes)","soil slope","1= slight slope, 0= otherwise","categorical (binary)","none","random-effects probit model with Mundlak approach;","probit","coefficient value",0.025,0.025,"standard error","8.0000000000000002E-3",0.008,"nd",NA,"0.01",0.01,"nd",24,24,28593,28593,"Vietnam",NA,"1= slight slope, 0= otherwise","soil slope (1= slight slope, 0= otherwise)"
"190",1,"nd","crop rotation",NA,NA,"annual crops",NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Moderate slope (= 1 if yes)","soil slope","1= moderate slope, 0= otherwise","categorical (binary)","none","random-effects probit model with Mundlak approach;","probit","coefficient value",0.011,0.011,"standard error","0.01",0.01,"nd",NA,"nd",NA,"nd",24,24,28593,28593,"Vietnam",NA,"1= moderate slope, 0= otherwise","soil slope (1= moderate slope, 0= otherwise)"
"190",1,"nd","crop rotation",NA,NA,"annual crops",NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Steep slope (=1 if yes)","soil slope","1= steep slope, 0= otherwise","categorical (binary)","none","random-effects probit model with Mundlak approach;","probit","coefficient value",-0.048,-0.048,"standard error","2.7E-2",0.027,"nd",NA,"0.1",0.1,"nd",24,24,28593,28593,"Vietnam",NA,"1= steep slope, 0= otherwise","soil slope (1= steep slope, 0= otherwise)"
"190",2,"nd","intercropping",NA,NA,NA,NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Slight slope (= 1 if yes)","soil slope","1= slight slope, 0= otherwise","categorical (binary)","none","random-effects probit model with Mundlak approach;","probit","coefficient value",0.014,0.014,"standard error","3.0000000000000001E-3",0.003,"nd",NA,"0.01",0.01,"nd",24,24,29323,29323,"Vietnam",NA,"1= slight slope, 0= otherwise","soil slope (1= slight slope, 0= otherwise)"
"190",2,"nd","intercropping",NA,NA,NA,NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Moderate slope (= 1 if yes)","soil slope","1= moderate slope, 0= otherwise","categorical (binary)","none","random-effects probit model with Mundlak approach;","probit","coefficient value",0.017,0.017,"standard error","5.0000000000000001E-3",0.005,"nd",NA,"0.01",0.01,"nd",24,24,29323,29323,"Vietnam",NA,"1= moderate slope, 0= otherwise","soil slope (1= moderate slope, 0= otherwise)"
"190",2,"nd","intercropping",NA,NA,NA,NA,"soil slope","biophysical","0","farm","diversity adoption (1=yes, 0=no)","partial correlation","Steep slope (=1 if yes)","soil slope","1= steep slope, 0= otherwise","categorical (binary)","none","random-effects probit model with Mundlak approach;","probit","coefficient value",0.048,0.048,"standard error","1.0999999999999999E-2",0.011,"nd",NA,"0.01",0.01,"nd",24,24,29323,29323,"Vietnam",NA,"1= steep slope, 0= otherwise","soil slope (1= steep slope, 0= otherwise)"
