"id","model_id","main_crop","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","y_metric_recla","effect_size_type","x_metric_raw","x_metric_recla","x_metric_unit","x_data_type","x_transformation","model_analysis_raw","model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","country","limitation","x_metric_unit_recla","factor","factor_metric_unit"
"35",1,"Cereals","agroforestry","woodlot","exotic tree species",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Membership: Member of farmers’ group and organization","hh association member","1= yes, 0= no","categorical (binary)","none","Multinomial Logit (MNL) model","logit","coefficient value",0.217,0.217,"p value","3.7999999999999999E-2",0.038,"nd",NA,"3.7999999999999999E-2",0.038,"nd",16,16,210,210,"Nepal","Eucalyptus camaldulensis, Gmelia arborea, Tectona grandis, Melia azedarach and Anthocephalus chinensis","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"35",2,"Cereals","agroforestry","alley cropping","exotic tree species","mixied","diversity adoption (1=yes, 0=no)","partial correlation","Membership: Member of farmers’ group and organization","hh association member","1= yes, 0= no","categorical (binary)","none","Multinomial Logit (MNL) model","logit","coefficient value",0.115,0.115,"p value","1.9E-2",0.019,"nd",NA,"1.9E-2",0.019,"nd",16,16,222,222,"Nepal",NA,"1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"44",1,"nd","agroforestry","alley cropping","unespecified","n fixing","diversity adoption (1=yes, 0=no)","partial correlation","FAS (membership of farmers' associations)","hh association member","1= yes, 0= no","categorical (binary)","none","Logit model","logit","coefficient value",2.4813,2.4813,"standard error","0.6472",0.6472,"3.8340000000000001",3.834,"0.05",0.05,"nd",14,14,156,156,"Cameroon","nd","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"45",1,"nd","agroforestry","alley cropping","unespecified","n fixing","diversity adoption (1=yes, 0=no)","partial correlation","FAS (membership of farmers associations)","hh association member","1= yes, 0= no","categorical (binary)","none","Logit model by a maximum likelihood method","logit","coefficient value",0.3817,0.3817,"standard error","0.64659999999999995",0.6466,"nd",NA,"0.55489999999999995",0.5549,"nd",20,20,223,223,"Nigeria","nd","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"45",2,"nd","agroforestry and fallow","alley cropping with fallow periods","unespecified","n fixing","diversity adoption (1=yes, 0=no)","partial correlation","FAS (membership of farmers associations)","hh association member","1= yes, 0= no","categorical (binary)","none","Logit model by a maximum likelihood method","logit","coefficient value",-1.0364,-1.0364,"standard error","1.7605999999999999",1.7606,"nd",NA,"0.55610000000000004",0.5561,"nd",12,12,223,223,"Nigeria","nd","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"89",1,"nd","agroforestry","alley cropping","unespecified","unespecified","diversity adoption (1=yes, 0=no)","partial correlation","Farmers' assocn. mem. (FAM)","hh association member","1= yes, 0= no","categorical (binary)","none","Logistic regression model","logit","coefficient value",2.51,2.51,"standard error","0.56799999999999995",0.568,"3.6520000000000001",3.652,"0.05",0.05,"nd",14,14,160,160,"Sierra Leone","nd","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"93",1,"Maize","intercropping","annual crops",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Member of agricultural groups/projects","hh association member","1= yes, 0= no","categorical (binary)","none","Logistic regression model","logit","coefficient value",-0.36,-0.36,"standard error","0.37",0.37,"nd",NA,"nd",NA,"nd",9,9,320,320,"Kenya","na","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"104",1,"nd","agroforestry","unspecified",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Cooperative society","hh association member","1= yes, 0= no","categorical (binary)","none","Multinomial logit (MNL) model","logit","coefficient value",1.22,1.22,"standard error","0.28199999999999997",0.282,"nd",NA,"0.1",0.1,"nd",11,11,120,120,"Nigeria","nd","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"104",2,"nd","crop rotation","cover crops","maintain soil moisture",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Cooperative society","hh association member","1= yes, 0= no","categorical (binary)","none","Multinomial logit (MNL) model","logit","coefficient value",-1.852,-1.852,"standard error","1",1,"nd",NA,"0.1",0.1,"nd",11,11,120,120,"Nigeria","na","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"114",1,"Soybean","integrated crop-livestock",NA,NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","participation in networks","hh association member","No membership (a), member of professional associations or unions (b), both (c)","categorical (multiple)","none","logistic regression","logit","marginal effect",0.112,0.112,"standard error","6.2E-2",0.062,"nd",NA,"nd",NA,"14",14,14,145,145,"Brazil","na","No membership (a), member of professional associations or unions (b), both (c)","hh association member","hh association member (No membership (a), member of professional associations or unions (b), both (c))"
"141",1,"nd","agroforestry","homegarden",NA,NA,"abundance","partial correlation","household involved in community based organization","hh association member","1= yes, 0= no","categorical (binary)","none","OLS regression model","OLS","coefficient value",6.762,6.762,"standard error","10.118",10.118,"0.67",0.67,"0.505",0.505,"na",10,10,267,267,"Nepal","nd","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"190",1,"nd","crop rotation","rotation of annual crops","undefined",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Farmer group (=1 if yes)","hh association member","1= yes, 0= no","categorical (binary)","none","random-effects probit model with Mundlak approach;","probit","coefficient value",0.014,0.014,"standard error","8.0000000000000002E-3",0.008,"nd",NA,"0.1",0.1,"nd",24,24,28593,28593,"Vietnam","na","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"190",2,"nd","intercropping","unespecified",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Farmer group (=1 if yes)","hh association member","1= yes, 0= no","categorical (binary)","none","random-effects probit model with Mundlak approach;","probit","coefficient value",0.002,0.002,"standard error","3.0000000000000001E-3",0.003,"nd",NA,"nd",NA,"nd",24,24,29323,29323,"Vietnam","na","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"190",3,"nd","land with temporary fallow","natural fallow",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Farmer group (=1 if yes)","hh association member","1= yes, 0= no","categorical (binary)","none","random-effects probit model with Mundlak approach;","probit","coefficient value",-0.007,-0.007,"standard error","6.0000000000000001E-3",0.006,"nd",NA,"nd",NA,"nd",23,23,27233,27233,"Vietnam","na","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"190",4,"nd","crop rotation","rotation of annual crops","undefined",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Farmer group (=1 if yes)","hh association member","1= yes, 0= no","categorical (binary)","none","fixed-effects linear probability model","Linear probability model","coefficient value",0.024,0.024,"standard error","1.0999999999999999E-2",0.011,"nd",NA,"0.05",0.05,"nd",23,23,28593,28593,"Vietnam","na","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"190",5,"nd","intercropping","unespecified",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Farmer group (=1 if yes)","hh association member","1= yes, 0= no","categorical (binary)","none","fixed-effects linear probability model","Linear probability model","coefficient value",0.002,0.002,"standard error","5.0000000000000001E-3",0.005,"nd",NA,"nd",NA,"nd",23,23,29323,29323,"Vietnam","na","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"190",6,"nd","land with temporary fallow","natural fallow",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Farmer group (=1 if yes)","hh association member","1= yes, 0= no","categorical (binary)","none","fixed-effects linear probability model","Linear probability model","coefficient value",-0.009,-0.009,"standard error","8.0000000000000002E-3",0.008,"nd",NA,"nd",NA,"nd",23,23,27233,27233,"Vietnam","na","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"236",1,"Maize, rice","grazing cut and carry","agroforestry",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Cash-crop cooperative membership","hh association member","1= yes, 0= no","categorical (binary)","none","Logistic regression","logit","coefficient value",-1.723,-1.723,"p value","1.0999999999999999E-2",0.011,"nd",NA,"1.0999999999999999E-2",0.011,"nd",12,12,150,150,"Indonesia","teak, acacia, mahogany","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"270",1,"Maize","intercropping","annual crops","n fixing",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Household group membership","hh association member","1= yes, 0= no","categorical (binary)","none","Multivariate probit model","probit","coefficient value",0.153,0.153,"robust standard error","6.6000000000000003E-2",0.066,"nd",NA,"0.05",0.05,"nd",30,30,2687,2687,"Kenya","na","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"270",2,"Maize","crop rotation","rotation of annual crops","n fixing",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Household group membership","hh association member","1= yes, 0= no","categorical (binary)","none","Multivariate probit model","probit","coefficient value",0.037,0.037,"robust standard error","6.3E-2",0.063,"nd",NA,"nd",NA,"nd",30,30,2687,2687,"Kenya","na","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"286",1,"Vegetables","crop rotation","rotation of annual crops","undefined",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Farmer group membership","hh association member","1= yes, 0= no","categorical (binary)","none","logistic regression","logit","coefficient value",0.375,0.375,"p value","nd",NA,"nd",NA,"nd",NA,"nd",11,11,112,112,"Indonesia","nd","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"286",2,"Vegetables","crop rotation","rotation of annual crops","undefined",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Farmer group membership","hh association member","1= yes, 0= no","categorical (binary)","none","logistic regression","logit","coefficient value",1.626,1.626,"p value","0.1",0.1,"nd",NA,"0.1",0.1,"nd",11,11,112,112,"Indonesia","nd","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"290",1,"Potato, wheat","agroforestry","alley cropping","exotic trees species",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Association","hh association member","1= yes, 0= no","categorical (binary)","none","Probit double-hurdle model","probit","coefficient value",4.823,4.823,"robust standard error","0.34799999999999998",0.348,"nd",NA,"0.01",0.01,"nd",24,24,313,313,"Ethiopia",NA,"1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"290",2,"Potato, wheat","agroforestry","alley cropping","exotic trees species",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Association","hh association member","1= yes, 0= no","categorical (binary)","none","Truncated double-hurdle model","truncated","coefficient value",-0.26,-0.26,"robust standard error","0.22700000000000001",0.227,"nd",NA,"nd",NA,"nd",24,24,313,313,"Ethiopia",NA,"1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"337",1,"Maize","crop rotation","rotation of annual crops","undefined",NA,"diversity adoption (1=yes, 0=no)","partial correlation","Group membership","hh association member","1= yes, 0= no","categorical (binary)","none","logit regressions","logit","coefficient value",0.602,0.602,"standard error","0.16500000000000001",0.165,"nd",NA,"0.01",0.01,"nd",13,13,3155,3155,"Ethiopia, Ghana, Kenya, Malawi,  Mozambique, Nigeria, Tanzania, Uganda,  Zambia","na","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"348",3,"nd","land with temporary fallow","natural fallow",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Involve in community","hh association member","1= yes, 0= no","categorical (binary)","none","linear probability model (LPM)","other","coefficient value",0.03,0.03,"standard error","0.02",0.02,"nd",NA,"nd",NA,"nd",19,19,3843,3843,"Nepal","na","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"348",4,"nd","land with temporary fallow","natural fallow",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Involve in community","hh association member","1= yes, 0= no","categorical (binary)","none","logit marginal model","logit","marginal effect",0.03,0.03,"standard error","0.02",0.02,"nd",NA,NA,NA,"nd",19,19,3783,3783,"Nepal","na","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"348",5,"nd","land with temporary fallow","natural fallow",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Involve in community","hh association member","1= yes, 0= no","categorical (binary)","none","instrumental variable IV model","instrumental_variable","coefficient value",0.03,0.03,"standard error","0.02",0.02,"nd",NA,"nd",NA,"nd",19,19,3843,3843,"Nepal","na","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"430",1,"nd","integrated crop-livestock",NA,NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","farmers' organization","hh association member","1= yes, 0= no","categorical (binary)","none","multinomial logit analysis","logit","coefficient value",-0.183,-0.183,"p value","0.877",0.877,"nd",NA,"0.877",0.877,"nd",6,6,120,120,"Benin","na","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"430",2,"nd","agroforestry","unespecified",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","farmers' organization","hh association member","1= yes, 0= no","categorical (binary)","none","multinomial logit analysis","logit","coefficient value",-1.607,-1.607,"p value","0.23",0.23,"nd",NA,"0.23",0.23,"nd",6,6,120,120,"Benin","na","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"452",1,"Maize","intercropping","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Household belongs to farming group","hh association member","1= yes, 0= no","categorical (binary)","none","probit regression model","probit","coefficient value",0.039,0.039,"standard error","4.9000000000000002E-2",0.049,"nd",NA,"nd",NA,"nd",9,9,400,400,"Zambia","na","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"452",2,"nd","agroforestry","unespecified",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Household belongs to farming group","hh association member","1= yes, 0= no","categorical (binary)","none","probit regression model","probit","coefficient value",0.038,0.038,"standard error","0",0,"nd",NA,"nd",NA,"nd",9,9,400,400,"Zambia","nd","1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"473",1,"Maize","intercropping","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Participation in farmers' group or association (1=yes; 0=no)","hh association member","1= yes, 0= no","categorical (binary)","none","multivariate probit mode","probit","coefficient value",0.234,0.234,"standard error","7.9000000000000001E-2",0.079,"nd",NA,"0.01",0.01,"nd",32,32,1539,1539,"Tanzania",NA,"1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
"473",2,"Maize","crop rotation","n fixing",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","Participation in farmers' group or association (1=yes; 0=no)","hh association member","1= yes, 0= no","categorical (binary)","none","multivariate probit mode","probit","coefficient value",0.001,0.001,"standard error","0.104",0.104,"nd",NA,"nd",NA,"nd",32,32,1539,1539,"Tanzania",NA,"1= yes, 0= no","hh association member","hh association member (1= yes, 0= no)"
