"id","model_id","main_crop","intervention_recla","intervention_recla_detail_1","intervention_recla_detail_2","intervention_recla_detail_3","y_metric_recla","effect_size_type","x_metric_recla","x_metric_unit","model_analysis_raw","model_method","coefficient_type","coefficient","coefficient_num","variance_metric","variance_value","variance_value_num","z_t_value","z_t_value_num","p_value","p_value_num","df_original","n_predictors","n_predictors_num","n_samples","n_samples_num","country","x_metric_unit_recla","factor","factor_metric_unit"
"45",1,"nd","agroforestry","alley cropping","unespecified","n fixing","diversity adoption (1=yes, 0=no)","partial correlation","hh farming experience","years","Logit model by a maximum likelihood method","logit","coefficient value","0.442",0.442,"standard error","0.19789999999999999",0.1979,"nd",NA,"2.5499999999999998E-2",0.0255,"nd","20",20,223,223,"Nigeria","years","hh farming experience","hh farming experience (years)"
"234",1,"Corn, soybean","crop rotation","rotation of annual crops","undefined",NA,"diversity adoption (1=yes, 0=no)","partial correlation","hh farming experience","years","probit regression model","probit","coefficient value","2E-3",0.002,"standard error","5.0000000000000001E-3",0.005,"nd",NA,"nd",NA,"nd","20",20,422,422,"USA","years","hh farming experience","hh farming experience (years)"
"236",1,"Maize, rice","grazing cut and carry","agroforestry",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","hh farming experience","years","Logistic regression","logit","coefficient value","1.329",1.329,"p value","6.5000000000000002E-2",0.065,"nd",NA,"6.5000000000000002E-2",0.065,"nd","12",12,150,150,"Indonesia","years","hh farming experience","hh farming experience (years)"
"286",1,"Vegetables","crop rotation","rotation of annual crops","undefined",NA,"diversity adoption (1=yes, 0=no)","partial correlation","hh farming experience","years","logistic regression","logit","coefficient value","0.22500000000000001",0.225,"p value","nd",NA,"nd",NA,"nd",NA,"nd","11",11,112,112,"Indonesia","years","hh farming experience","hh farming experience (years)"
"286",2,"Vegetables","crop rotation","rotation of annual crops","undefined",NA,"diversity adoption (1=yes, 0=no)","partial correlation","hh farming experience","years","logistic regression","logit","coefficient value","0.126",0.126,"p value","0.05",0.05,"nd",NA,"0.05",0.05,"nd","11",11,112,112,"Indonesia","years","hh farming experience","hh farming experience (years)"
"290",1,"Potato, wheat","agroforestry","alley cropping","exotic trees species",NA,"diversity adoption (1=yes, 0=no)","partial correlation","hh farming experience","years","double-hurdle model","probit","coefficient value","3.6999999999999998E-2",0.037,"robust standard error","0.02",0.02,"nd",NA,"0.1",0.1,"nd","24",24,313,313,"Ethiopia","years","hh farming experience","hh farming experience (years)"
"290",2,"Potato, wheat","agroforestry","alley cropping","exotic trees species",NA,"diversity adoption (1=yes, 0=no)","partial correlation","hh farming experience","years","double-hurdle model","truncated","coefficient value","-0.02",-0.02,"robust standard error","1.2E-2",0.012,"nd",NA,"0.05",0.05,"nd","24",24,313,313,"Ethiopia","years","hh farming experience","hh farming experience (years)"
"406",1,"nd","crop rotation and intercropping","unespecified",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","hh farming experience","1= <15 years of farming experience, 0= otherwise","multinomial logistic regression (MLR)","logit","coefficient value","3.2959999999999998",3.296,"p value","1.6E-2",0.016,"nd",NA,"1.6E-2",0.016,"nd","12",12,212,212,"Myanmar","1= <15 years of farming experience, 0= otherwise","hh farming experience","hh farming experience (1= <15 years of farming experience, 0= otherwise)"
"430",1,"nd","integrated crop-livestock",NA,NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","hh farming experience","years","multinomial logit analysis","logit","coefficient value","0.314",0.314,"p value","6.0000000000000001E-3",0.006,"nd",NA,"6.0000000000000001E-3",0.006,"nd","6",6,120,120,"Benin","years","hh farming experience","hh farming experience (years)"
"430",2,"nd","agroforestry","unespecified",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","hh farming experience","years","multinomial logit analysis","logit","coefficient value","0.38400000000000001",0.384,"p value","1E-3",0.001,"nd",NA,"1E-3",0.001,"nd","6",6,120,120,"Benin","years","hh farming experience","hh farming experience (years)"
"443",1,"Cereals","crop rotation and intercropping","unespecified",NA,NA,"diversity adoption (1=yes, 0=no)","partial correlation","hh farming experience","years","probit regression model","probit","coefficient value","-5.5E-2",-0.055,"standard error","2.1000000000000001E-2",0.021,"nd",NA,"0.01",0.01,"nd","25",25,538,538,"Zimbabwe","years","hh farming experience","hh farming experience (years)"
